Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,,
2025-01-10 07:15:00+00:00,2704.0,2704.0,2706.5,2703.0,2705.800048828125,1231
2025-01-10 07:30:00+00:00,2704.39990234375,2704.39990234375,2704.800048828125,2701.699951171875,2703.89990234375,1820
2025-01-10 07:45:00+00:00,2704.89990234375,2704.89990234375,2707.199951171875,2704.0,2704.39990234375,5410
2025-01-10 08:00:00+00:00,2705.800048828125,2705.800048828125,2705.89990234375,2700.0,2704.89990234375,4902
2025-01-10 08:15:00+00:00,2703.5,2703.5,2707.10009765625,2702.10009765625,2705.800048828125,4120
2025-01-10 08:30:00+00:00,2702.0,2702.0,2704.0,2686.89990234375,2703.199951171875,22260
2025-01-10 08:45:00+00:00,2713.0,2713.0,2714.300048828125,2701.199951171875,2701.800048828125,11578
2025-01-10 09:00:00+00:00,2718.0,2718.0,2719.89990234375,2711.5,2713.0,10364
2025-01-10 09:15:00+00:00,2728.60009765625,2728.60009765625,2730.39990234375,2716.800048828125,2717.800048828125,13328
2025-01-10 09:30:00+00:00,2725.0,2725.0,2735.0,2724.300048828125,2728.800048828125,25778
2025-01-10 09:45:00+00:00,2723.39990234375,2723.39990234375,2726.5,2716.60009765625,2725.10009765625,9454
2025-01-10 10:00:00+00:00,2725.300048828125,2725.300048828125,2727.0,2715.5,2723.0,9478
2025-01-10 10:15:00+00:00,2728.800048828125,2728.800048828125,2729.199951171875,2723.60009765625,2725.39990234375,6331
2025-01-10 10:30:00+00:00,2729.10009765625,2729.10009765625,2734.199951171875,2727.800048828125,2728.800048828125,6755
2025-01-10 10:45:00+00:00,2720.60009765625,2720.60009765625,2729.300048828125,2720.5,2729.300048828125,5828
2025-01-10 11:00:00+00:00,2719.5,2719.5,2721.300048828125,2715.5,2720.5,9050
2025-01-10 11:15:00+00:00,2717.300048828125,2717.300048828125,2721.800048828125,2717.10009765625,2719.60009765625,3597
2025-01-10 11:30:00+00:00,2723.0,2723.0,2723.39990234375,2715.39990234375,2717.199951171875,3621
2025-01-10 11:45:00+00:00,2727.10009765625,2727.10009765625,2728.800048828125,2722.699951171875,2723.0,3936
2025-01-10 12:00:00+00:00,2724.60009765625,2724.60009765625,2727.800048828125,2720.5,2727.300048828125,3177
2025-01-10 12:15:00+00:00,2724.60009765625,2724.60009765625,2726.199951171875,2721.39990234375,2724.5,1983
