T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,4,2286.715,0,2286.8,2287.38,2287.38,2285.8,1714524600000,4,,0,,0,0,0,0,0,false
,2,2286.995,0,2286.84,2287.15,2287.15,2286.84,1714524660000,2,,0,,0,0,0,0,0,false
,3,2287.5533,0,2287.88,2287.94,2287.94,2286.84,1714524720000,3,,0,,0,0,0,0,0,false
,2,2288.16,0,2288.12,2288.2,2288.2,2288.12,1714524780000,2,,0,,0,0,0,0,0,false
,3,2287.8767,0,2288.46,2287.77,2288.46,2287.4,1714524840000,3,,0,,0,0,0,0,0,false
,3,2287.8733,0,2287.86,2287.77,2287.99,2287.77,1714524900000,3,,0,,0,0,0,0,0,false
,2,2287.48,0,2287.48,2287.48,2287.48,2287.48,1714524960000,2,,0,,0,0,0,0,0,false
,3,2287.33,0,2287.47,2287.15,2287.47,2287.15,1714525020000,3,,0,,0,0,0,0,0,false
,2,2286.875,0,2286.79,2286.96,2286.96,2286.79,1714525080000,2,,0,,0,0,0,0,0,false
,3,2287.06,0,2287.21,2287.2,2287.21,2286.77,1714525140000,3,,0,,0,0,0,0,0,false
,3,2286.7367,0,2286.63,2287.2,2287.2,2286.38,1714525200000,3,,0,,0,0,0,0,0,false
,2,2287.5,0,2287.25,2287.75,2287.75,2287.25,1714525260000,2,,0,,0,0,0,0,0,false
,3,2287.3833,0,2287.63,2287.89,2287.89,2286.63,1714525320000,3,,0,,0,0,0,0,0,false
,2,2287.855,0,2287.88,2287.83,2287.88,2287.83,1714525380000,2,,0,,0,0,0,0,0,false
,3,2288.2767,0,2288.44,2288.51,2288.51,2287.88,1714525440000,3,,0,,0,0,0,0,0,false
,2,2288.18,0,2288.09,2288.27,2288.27,2288.09,1714525500000,2,,0,,0,0,0,0,0,false
,3,2288.28,0,2288.51,2287.91,2288.51,2287.91,1714525560000,3,,0,,0,0,0,0,0,false
,3,2288.18,0,2287.77,2288.35,2288.42,2287.77,1714525620000,3,,0,,0,0,0,0,0,false
,2,2288.065,0,2288.05,2288.08,2288.08,2288.05,1714525680000,2,,0,,0,0,0,0,0,false
,3,2288.0433,0,2288.03,2288.05,2288.05,2288.03,1714525740000,3,,0,,0,0,0,0,0,false
,2,2287.725,0,2287.87,2287.58,2287.87,2287.58,1714525800000,2,,0,,0,0,0,0,0,false
,3,2287.92,0,2288.05,2287.81,2288.05,2287.81,1714525860000,3,,0,,0,0,0,0,0,false
,3,2287.5467,0,2287.49,2287.27,2287.88,2287.27,1714525920000,3,,0,,0,0,0,0,0,false
,3,2287.0067,0,2286.3,2287.39,2287.39,2286.3,1714525980000,3,,0,,0,0,0,0,0,false
,3,2287.33,0,2287.38,2287.28,2287.38,2287.28,1714526040000,3,,0,,0,0,0,0,0,false
,2,2287.235,0,2287.3,2287.17,2287.3,2287.17,1714526100000,2,,0,,0,0,0,0,0,false
,3,2287.1367,0,2287.28,2287.14,2287.28,2286.99,1714526160000,3,,0,,0,0,0,0,0,false
,3,2287.2733,0,2287.22,2287.46,2287.46,2287.14,1714526220000,3,,0,,0,0,0,0,0,false
,2,2287.655,0,2287.75,2287.56,2287.75,2287.56,1714526280000,2,,0,,0,0,0,0,0,false
,3,2287.6967,0,2287.6,2287.74,2287.75,2287.6,1714526340000,3,,0,,0,0,0,0,0,false
,2,2287.625,0,2287.83,2287.42,2287.83,2287.42,1714526400000,2,,0,,0,0,0,0,0,false
,3,2287.6667,0,2287.74,2287.77,2287.77,2287.49,1714526460000,3,,0,,0,0,0,0,0,false
,3,2287.8033,0,2287.85,2287.77,2287.85,2287.77,1714526520000,3,,0,,0,0,0,0,0,false
,2,2287.805,0,2287.68,2287.93,2287.93,2287.68,1714526580000,2,,0,,0,0,0,0,0,false
,3,2287.6767,0,2287.66,2287.69,2287.69,2287.66,1714526640000,3,,0,,0,0,0,0,0,false
,2,2287.48,0,2287.51,2287.45,2287.51,2287.45,1714526700000,2,,0,,0,0,0,0,0,false
,3,2287.8433,0,2287.69,2287.87,2287.97,2287.69,1714526760000,3,,0,,0,0,0,0,0,false
,3,2288.1033,0,2288.29,2287.87,2288.29,2287.87,1714526820000,3,,0,,0,0,0,0,0,false
,2,2288.265,0,2288.48,2288.05,2288.48,2288.05,1714526880000,2,,0,,0,0,0,0,0,false
,3,2287.94,0,2287.69,2287.68,2288.45,2287.68,1714526940000,3,,0,,0,0,0,0,0,false
,2,2287.71,0,2287.68,2287.74,2287.74,2287.68,1714527000000,2,,0,,0,0,0,0,0,false
,3,2287.6267,0,2287.68,2287.53,2287.68,2287.53,1714527060000,3,,0,,0,0,0,0,0,false
,3,2287.2233,0,2287.32,2287.53,2287.53,2286.82,1714527120000,3,,0,,0,0,0,0,0,false
,2,2286.93,0,2286.92,2286.94,2286.94,2286.92,1714527180000,2,,0,,0,0,0,0,0,false
,3,2286.82,0,2286.78,2286.76,2286.92,2286.76,1714527240000,3,,0,,0,0,0,0,0,false
,2,2286.705,0,2286.63,2286.78,2286.78,2286.63,1714527300000,2,,0,,0,0,0,0,0,false
,3,2286.5767,0,2286.76,2286.29,2286.76,2286.29,1714527360000,3,,0,,0,0,0,0,0,false
,3,2286.3467,0,2286.23,2286.67,2286.67,2286.14,1714527420000,3,,0,,0,0,0,0,0,false
,2,2286.11,0,2286.16,2286.06,2286.16,2286.06,1714527480000,2,,0,,0,0,0,0,0,false
,3,2286.2767,0,2286.35,2286.32,2286.35,2286.16,1714527540000,3,,0,,0,0,0,0,0,false
,2,2286.55,0,2286.47,2286.63,2286.63,2286.47,1714527600000,2,,0,,0,0,0,0,0,false
,3,2286.9167,0,2286.32,2287.22,2287.22,2286.32,1714527660000,3,,0,,0,0,0,0,0,false
,3,2287.0533,0,2287.29,2286.66,2287.29,2286.66,1714527720000,3,,0,,0,0,0,0,0,false
,2,2287.06,0,2287.1,2287.02,2287.1,2287.02,1714527780000,2,,0,,0,0,0,0,0,false
,3,2287.5233,0,2287.49,2287.98,2287.98,2287.1,1714527840000,3,,0,,0,0,0,0,0,false
,2,2288.225,0,2288.3,2288.15,2288.3,2288.15,1714527900000,2,,0,,0,0,0,0,0,false
,3,2287.9233,0,2287.98,2287.53,2288.26,2287.53,1714527960000,3,,0,,0,0,0,0,0,false
,3,2287.9733,0,2287.66,2288.25,2288.25,2287.66,1714528020000,3,,0,,0,0,0,0,0,false
,2,2288.74,0,2288.69,2288.79,2288.79,2288.69,1714528080000,2,,0,,0,0,0,0,0,false
,3,2288.61,0,2289.26,2288.86,2289.26,2287.71,1714528140000,3,,0,,0,0,0,0,0,false
,2,2288.66,0,2288.88,2288.44,2288.88,2288.44,1714528200000,2,,0,,0,0,0,0,0,false
,3,2288.5133,0,2288.26,2288.67,2288.67,2288.26,1714528260000,3,,0,,0,0,0,0,0,false
,3,2288.65,0,2288.93,2288.67,2288.93,2288.35,1714528320000,3,,0,,0,0,0,0,0,false
,3,2288.6833,0,2288.72,2288.61,2288.72,2288.61,1714528380000,3,,0,,0,0,0,0,0,false
,3,2288.65,0,2288.77,2288.46,2288.77,2288.46,1714528440000,3,,0,,0,0,0,0,0,false
,2,2288.545,0,2288.54,2288.55,2288.55,2288.54,1714528500000,2,,0,,0,0,0,0,0,false
,3,2288.68,0,2288.76,2288.06,2289.22,2288.06,1714528560000,3,,0,,0,0,0,0,0,false
,3,2288.15,0,2287.96,2288.52,2288.52,2287.96,1714528620000,3,,0,,0,0,0,0,0,false
,2,2288.325,0,2288.51,2288.14,2288.51,2288.14,1714528680000,2,,0,,0,0,0,0,0,false
,3,2287.97,0,2288.07,2287.8,2288.07,2287.8,1714528740000,3,,0,,0,0,0,0,0,false
,3,2287.6367,0,2287.78,2288.13,2288.13,2287,1714528800000,3,,0,,0,0,0,0,0,false
,3,2288.1067,0,2287.8,2288.23,2288.29,2287.8,1714528860000,3,,0,,0,0,0,0,0,false
,3,2288.14,0,2288.06,2288.18,2288.18,2288.06,1714528920000,3,,0,,0,0,0,0,0,false
,2,2288.085,0,2288.18,2287.99,2288.18,2287.99,1714528980000,2,,0,,0,0,0,0,0,false
,3,2287.7567,0,2287.87,2287.22,2288.18,2287.22,1714529040000,3,,0,,0,0,0,0,0,false
,2,2287.28,0,2287.32,2287.24,2287.32,2287.24,1714529100000,2,,0,,0,0,0,0,0,false
,3,2287.3433,0,2287.86,2287.18,2287.86,2286.99,1714529160000,3,,0,,0,0,0,0,0,false
,3,2287.3533,0,2287.52,2287.18,2287.52,2287.18,1714529220000,3,,0,,0,0,0,0,0,false
,2,2287.35,0,2287.21,2287.49,2287.49,2287.21,1714529280000,2,,0,,0,0,0,0,0,false
,3,2287.2333,0,2287.41,2287.08,2287.41,2287.08,1714529340000,3,,0,,0,0,0,0,0,false
,2,2286.835,0,2286.82,2286.85,2286.85,2286.82,1714529400000,2,,0,,0,0,0,0,0,false
,3,2287.1267,0,2287.4,2287.05,2287.4,2286.93,1714529460000,3,,0,,0,0,0,0,0,false
,3,2286.8933,0,2286.76,2287.05,2287.05,2286.76,1714529520000,3,,0,,0,0,0,0,0,false
,3,2286.5867,0,2286.83,2287.13,2287.13,2285.8,1714529580000,3,,0,,0,0,0,0,0,false
,3,2287.13,0,2287.17,2287.39,2287.39,2286.83,1714529640000,3,,0,,0,0,0,0,0,false
,2,2287.44,0,2287.2,2287.68,2287.68,2287.2,1714529700000,2,,0,,0,0,0,0,0,false
,3,2287.5467,0,2287.39,2287.56,2287.69,2287.39,1714529760000,3,,0,,0,0,0,0,0,false
,3,2287.6233,0,2287.62,2287.56,2287.69,2287.56,1714529820000,3,,0,,0,0,0,0,0,false
,3,2287.3467,0,2287.68,2287.66,2287.68,2286.7,1714529880000,3,,0,,0,0,0,0,0,false
,3,2287.4933,0,2287.39,2287.41,2287.68,2287.39,1714529940000,3,,0,,0,0,0,0,0,false
,2,2287.41,0,2287.39,2287.43,2287.43,2287.39,1714530000000,2,,0,,0,0,0,0,0,false
,3,2287.48,0,2287.47,2287.58,2287.58,2287.39,1714530060000,3,,0,,0,0,0,0,0,false
,4,2287.375,0,2287.54,2287.58,2287.68,2286.7,1714530120000,4,,0,,0,0,0,0,0,false
,2,2287.95,0,2287.89,2288.01,2288.01,2287.89,1714530180000,2,,0,,0,0,0,0,0,false
,3,2287.8567,0,2287.9,2287.78,2287.9,2287.78,1714530240000,3,,0,,0,0,0,0,0,false
,2,2287.8,0,2287.79,2287.81,2287.81,2287.79,1714530300000,2,,0,,0,0,0,0,0,false
,3,2287.84,0,2287.84,2287.89,2287.89,2287.79,1714530360000,3,,0,,0,0,0,0,0,false
,3,2287.8967,0,2287.92,2287.89,2287.92,2287.88,1714530420000,3,,0,,0,0,0,0,0,false
,2,2287.64,0,2287.72,2287.56,2287.72,2287.56,1714530480000,2,,0,,0,0,0,0,0,false
,3,2287.7633,0,2287.83,2287.74,2287.83,2287.72,1714530540000,3,,0,,0,0,0,0,0,false
,2,2287.485,0,2287.63,2287.34,2287.63,2287.34,1714530600000,2,,0,,0,0,0,0,0,false
,3,2287.3367,0,2287.23,2287.15,2287.63,2287.15,1714530660000,3,,0,,0,0,0,0,0,false
,3,2286.9633,0,2286.75,2287.15,2287.15,2286.75,1714530720000,3,,0,,0,0,0,0,0,false
,2,2287.04,0,2286.97,2287.11,2287.11,2286.97,1714530780000,2,,0,,0,0,0,0,0,false
,3,2287.1733,0,2287.3,2287.25,2287.3,2286.97,1714530840000,3,,0,,0,0,0,0,0,false
,2,2287.44,0,2287.49,2287.39,2287.49,2287.39,1714530900000,2,,0,,0,0,0,0,0,false
,3,2287.3267,0,2287.3,2287.19,2287.49,2287.19,1714530960000,3,,0,,0,0,0,0,0,false
,3,2287.2933,0,2287.2,2287.19,2287.49,2287.19,1714531020000,3,,0,,0,0,0,0,0,false
,2,2287.665,0,2287.77,2287.56,2287.77,2287.56,1714531080000,2,,0,,0,0,0,0,0,false
,3,2287.6567,0,2287.7,2287.5,2287.77,2287.5,1714531140000,3,,0,,0,0,0,0,0,false
,2,2287.625,0,2287.58,2287.67,2287.67,2287.58,1714531200000,2,,0,,0,0,0,0,0,false
,3,2287.7433,0,2287.69,2287.96,2287.96,2287.58,1714531260000,3,,0,,0,0,0,0,0,false
,3,2288.0333,0,2288,2287.96,2288.14,2287.96,1714531320000,3,,0,,0,0,0,0,0,false
,2,2288.115,0,2288.13,2288.1,2288.13,2288.1,1714531380000,2,,0,,0,0,0,0,0,false
,3,2288.0133,0,2287.92,2287.99,2288.13,2287.92,1714531440000,3,,0,,0,0,0,0,0,false
,3,2287.5667,0,2288.01,2287.69,2288.01,2287,1714531500000,3,,0,,0,0,0,0,0,false
,3,2287.7933,0,2287.7,2287.67,2288.01,2287.67,1714531560000,3,,0,,0,0,0,0,0,false
,3,2287.48,0,2287.47,2287.67,2287.67,2287.3,1714531620000,3,,0,,0,0,0,0,0,false
,2,2287.345,0,2287.3,2287.39,2287.39,2287.3,1714531680000,2,,0,,0,0,0,0,0,false
,3,2287.1967,0,2287.14,2287.15,2287.3,2287.14,1714531740000,3,,0,,0,0,0,0,0,false
,2,2287.335,0,2287.21,2287.46,2287.46,2287.21,1714531800000,2,,0,,0,0,0,0,0,false
,3,2287.62,0,2287.94,2287.71,2287.94,2287.21,1714531860000,3,,0,,0,0,0,0,0,false
,2,2287.835,0,2287.95,2287.72,2287.95,2287.72,1714531920000,2,,0,,0,0,0,0,0,false
,3,2287.8567,0,2287.71,2287.95,2287.95,2287.71,1714531980000,3,,0,,0,0,0,0,0,false
,3,2287.9667,0,2288,2287.99,2288,2287.91,1714532040000,3,,0,,0,0,0,0,0,false
,1,2287.82,0,2287.82,2287.82,2287.82,2287.82,1714532100000,1,,0,,0,0,0,0,0,false
,4,2287.805,0,2288.06,2288.24,2288.24,2287.1,1714532160000,4,,0,,0,0,0,0,0,false
,2,2288.245,0,2288.09,2288.4,2288.4,2288.09,1714532220000,2,,0,,0,0,0,0,0,false
,3,2288.2133,0,2288.24,2288.1,2288.3,2288.1,1714532280000,3,,0,,0,0,0,0,0,false
,3,2288.0633,0,2287.98,2288.09,2288.12,2287.98,1714532340000,3,,0,,0,0,0,0,0,false
