time,open,high,low,close,ATVV,Plot
2024-02-09,2033.85,2037.24,2020.41,2024.155,0,0
2024-02-12,2024.38,2027.58,2012.01,2019.885,0,0
2024-02-13,2019.63,2032.845,1990.22,1992.855,0,0
2024-02-14,1993.1,1996.12,1984.37,1991.98,0,0
2024-02-15,1991.98,2008.27,1990.32,2004.105,0,0
2024-02-16,2003.95,2015.164,1995.25,2013.055,0,0
2024-02-19,2013.12,2022.98,2010.91,2017.95,0,0
2024-02-20,2017.95,2031.13,2014.34,2024.095,0,0
2024-02-21,2023.97,2032.29,2020.19,2025.895,0,0
2024-02-22,2025.48,2034.86,2019.75,2024.09,0,0
2024-02-23,2023.933,2041.53,2016.15,2035.43,0,0
2024-02-26,2035.39,2037.07,2025.15,2030.885,0,0
2024-02-27,2031.17,2039.47,2028.9,2029.964,0,0
2024-02-28,2030.29,2037.89,2024.61,2034.085,0,0
2024-02-29,2034.33,2050.75,2028.23,2043.98,0,0
2024-03-01,2043.7,2088.33,2039.22,2082.65,0,0
2024-03-04,2082.65,2119.89,2079.57,2114.295,0,0
2024-03-05,2113.9,2141.81,2110.59,2127.913,0,0
2024-03-06,2127.97,2152.24,2123.8,2147.952,0,0
2024-03-07,2148.05,2164.78,2144.36,2159.715,0,0
2024-03-08,2159.86,2195.15,2154.17,2178.965,0,0
2024-03-11,2179.03,2188.99,2174.91,2182.008,0,0
2024-03-12,2182.098,2184.76,2150.78,2157.698,0,0
2024-03-13,2157.698,2179.812,2155.98,2174.323,0,0
2024-03-14,2174.272,2176.97,2152.965,2161.708,0,0
2024-03-15,2161.338,2172.712,2155.29,2155.625,0,0
2024-03-18,2155.66,2163.6,2146.24,2160.328,0,0
2024-03-19,2160.203,2162.84,2147.29,2157.412,0,0
2024-03-20,2157.298,2188.78,2149.7,2185.8,0,0
2024-03-21,2186.572,2222.91,2166.48,2181.072,0,0
2024-03-22,2180.792,2186.1,2157.208,2164.7,0,0
2024-03-25,2164.93,2181.29,2163.708,2171.088,0,0
2024-03-26,2171.405,2200.11,2167.81,2178.3,0,0
2024-03-27,2178.123,2197.6,2173.55,2194.503,0,0
2024-03-28,2194.532,2236.242,2187.53,2232.1,0,0
