time,open,high,low,close,Basis,Upper,Lower,ATVV,Plot,Histogram,MACD,Signal,Bollinger BandWidth,Highest Expansion,Lowest Contraction
1738215000,2760.28,2760.28,2758.75,2759.26,2760.7100000000237,2762.472849790427,2758.9471502096203,1106.65,1037.7,-0.3632884711412169,0.5859964882147324,0.9492849593559493,0.12770988552969084,0.614139401162022,0.10040334214388313
1738215900,2759.27,2761.12,2759.01,2760.55,2760.632000000024,2762.2740789781465,2758.989921021902,1094.05,1051.4450000000002,-0.3236203410053231,0.5447595330992954,0.8683798741046185,0.11896398926928942,0.614139401162022,0.10040334214388313
1738216800,2760.54,2761.85,2760.18,2761.3,2760.6700000000237,2762.3367931443136,2759.003206855734,1068.05,1059.975,-0.2418460181926545,0.5660723513638004,0.8079183695564549,0.12075279872565908,0.614139401162022,0.10040334214388313
1738217700,2761.31,2762.31,2760.47,2761.14,2760.6925000000238,2762.3718672567097,2759.013132743338,1055.55,1067.335,-0.19548995274828462,0.5635559286210992,0.7590458813693838,0.12166275357983186,0.614139401162022,0.10040334214388313
1738218600,2761.19,2762.47,2760.65,2761.58,2760.773500000024,2762.459990550625,2759.0870094494226,1056.95,1072.49,-0.13502726697087908,0.5902617976557849,0.725289064626664,0.12217522014039221,0.614139401162022,0.10040334214388313
1738219500,2761.59,2766.46,2761.28,2765.43,2761.037500000023,2763.64983887483,2758.425161125216,1080.1,1076.965,0.1490336093154505,0.9115810762709771,0.7625474669555266,0.1892287862665332,0.614139401162022,0.10040334214388313
1738220400,2765.42,2766.95,2764.86,2766.38,2761.3135000000234,2764.80946487215,2757.817535127897,1119.5,1083.85,0.37293965625959635,1.228722037280022,0.8557823810204257,0.25321028359340214,0.614139401162022,0.10040334214388313
1738221300,2766.43,2768.25,2765.97,2766.47,2761.6185000000232,2765.7403358036418,2757.4966641964047,1142.3,1091.24,0.49167110079849274,1.4703712570185417,0.9787001562200489,0.2985087044874945,0.614139401162022,0.10040334214388313
1738222200,2766.48,2767.52,2765.12,2767.07,2761.9785000000234,2766.647916493224,2757.309083506823,1147.7,1096.77,0.5696834342571444,1.6908044490414795,1.1211210147843351,0.33812113260117527,0.614139401162022,0.10040334214388313
1738223100,2767.06,2769.4,2767.01,2769.08,2762.414500000023,2767.946716408281,2756.882283591765,1183.8,1105.465,0.7067687645227814,2.004581970437812,1.2978132059150305,0.4005348515407872,0.614139401162022,0.10040334214388313
