time,open,high,low,close,ATVV,Plot
1738782360,2863.22,2865.14,2863.045,2865.1,1308.85,1243.4800000000007
1738782420,2865.03,2866.19,2864.595,2865.567,1320.65,1258.9350000000006
1738782480,2865.61,2866.57,2865.365,2865.725,1312.65,1270.7000000000005
1738782540,2865.897,2866.37,2865.405,2865.67,1294.35,1278.4050000000007
1738782600,2865.62,2865.77,2864.617,2864.687,1279.85,1283.7900000000004
1738782660,2864.63,2865.15,2864.195,2864.977,1278.2,1286.6650000000004
1738782720,2864.975,2865.72,2864.665,2865.01,1270.25,1288.0850000000005
1738782780,2864.705,2865.37,2864.435,2865.12,1271.05,1290.1000000000006
1738782840,2865.077,2865.53,2864.825,2865.46,1258.5,1288.0550000000005
1738782900,2865.537,2866.65,2865.115,2866.53,1259.65,1285.4000000000003
1738782960,2866.4,2867.08,2865.955,2866.54,1264,1280.9150000000004
1738783020,2866.46,2867.12,2866.235,2867.12,1242,1273.0500000000004
1738783080,2867.11,2867.98,2866.885,2867.791,1229.75,1264.7600000000004
1738783140,2867.83,2868.25,2867.455,2867.83,1196.85,1255.0100000000004
1738783200,2867.83,2867.87,2866.905,2867.297,1179.4,1244.9650000000006
1738783260,2867.247,2868.39,2867.055,2867.88,1160.55,1233.2000000000003
1738783320,2867.811,2868.19,2867.625,2867.997,1138.1,1219.9850000000004
1738783380,2868.017,2868.81,2867.825,2868.26,1129.6,1205.8400000000001
1738783440,2868.065,2868.6,2867.735,2868.397,1088.5,1188.8400000000004
1738783500,2868.56,2868.84,2868.175,2868.52,1059.45,1168.8200000000002
1738783560,2868.62,2868.62,2867.325,2867.577,1032.35,1145.6550000000002
1738783620,2867.577,2867.82,2867.115,2867.58,1009.6,1122.4150000000002
1738783680,2867.497,2867.98,2866.785,2867.92,1004.35,1099.8750000000002
1738783740,2867.787,2868.1,2866.815,2867.05,1017.85,1081.9750000000001
1738783800,2866.947,2867.79,2866.235,2867.5,1018.9,1065.9250000000002
1738783860,2867.461,2867.87,2867.195,2867.47,1021.05,1051.9750000000001
1738783920,2867.48,2867.48,2866.655,2867.15,1012.3,1039.3950000000002
1738783980,2867.037,2867.66,2866.935,2867.45,1001.35,1026.5700000000002
1738784040,2867.37,2867.6,2867.285,2867.44,991.8,1016.9000000000003
1738784100,2867.51,2868.52,2866.355,2867.057,986.2,1009.5750000000004
1738784160,2866.995,2867.38,2866.645,2867.1,985.3,1004.8700000000005
1738784220,2867.067,2867.59,2866.845,2867.39,991.95,1003.1050000000005
1738784280,2867.39,2868.5,2867.175,2868.31,979.9,1000.6600000000004
1738784340,2868.277,2869.26,2868.085,2868.82,972.3,996.1050000000002
1738784400,2868.82,2869.26,2868.238,2868.92,962.75,990.4900000000004
1738784460,2868.587,2869.11,2868.238,2868.27,936.75,982.0600000000002
1738784520,2868.3,2869.06,2867.585,2868.735,947.1,975.5400000000003
1738784580,2868.827,2868.94,2867.615,2868.03,956.4,971.0450000000004
1738784640,2868,2868.41,2867.635,2867.97,963.6,968.2250000000004
1738784700,2867.93,2868.17,2866.395,2866.57,979.25,967.5300000000003
1738784760,2866.425,2867,2866.245,2866.66,997.6,968.7600000000004
1738784820,2866.647,2867.19,2866.055,2866.465,1015.65,971.1300000000003
1738784880,2866.6,2867,2865.905,2866.655,1028.65,976.0050000000003
1738784940,2866.78,2867.4,2866.405,2866.6,1003.05,979.0800000000003
1738785000,2866.597,2866.74,2865.095,2865.23,982.1,981.0150000000003
1738785060,2865.24,2866.37,2864.675,2865.275,1006.55,987.9950000000002
1738785120,2865.397,2866.62,2865.305,2865.95,1019.2,995.2050000000003
1738785180,2865.96,2865.97,2865.105,2865.35,1022.05,1001.7700000000002
1738785240,2865.327,2865.63,2864.705,2864.94,1028.2,1008.2300000000001
1738785300,2864.867,2865.48,2863.865,2863.997,1025.6,1012.865
