T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,2,2709.795,0,2709.69,2709.9,2709.9,2709.69,1737417600000,2,,0,,0,0,0,0,0,false
,3,2710.3433,0,2710.18,2710.29,2710.56,2710.18,1737417660000,3,,0,,0,0,0,0,0,false
,3,2710.18,0,2710.21,2710.29,2710.29,2710.04,1737417720000,3,,0,,0,0,0,0,0,false
,2,2710.105,0,2710.13,2710.08,2710.13,2710.08,1737417780000,2,,0,,0,0,0,0,0,false
,3,2710.23,0,2710.19,2710.37,2710.37,2710.13,1737417840000,3,,0,,0,0,0,0,0,false
,2,2710.125,0,2710.02,2710.23,2710.23,2710.02,1737417900000,2,,0,,0,0,0,0,0,false
,3,2710.4433,0,2710.37,2710.54,2710.54,2710.37,1737417960000,3,,0,,0,0,0,0,0,false
,3,2710.68,0,2710.63,2710.54,2710.87,2710.54,1737418020000,3,,0,,0,0,0,0,0,false
,2,2710.87,0,2710.81,2710.93,2710.93,2710.81,1737418080000,2,,0,,0,0,0,0,0,false
,3,2710.7033,0,2710.6,2710.7,2710.81,2710.6,1737418140000,3,,0,,0,0,0,0,0,false
,2,2710.555,0,2710.56,2710.55,2710.56,2710.55,1737418200000,2,,0,,0,0,0,0,0,false
,3,2710.5533,0,2710.7,2710.42,2710.7,2710.42,1737418260000,3,,0,,0,0,0,0,0,false
,3,2710.3767,0,2710.25,2710.42,2710.46,2710.25,1737418320000,3,,0,,0,0,0,0,0,false
,2,2710.71,0,2710.73,2710.69,2710.73,2710.69,1737418380000,2,,0,,0,0,0,0,0,false
,3,2710.95,0,2711.23,2710.89,2711.23,2710.73,1737418440000,3,,0,,0,0,0,0,0,false
,2,2709.9,0,2710.12,2709.68,2710.12,2709.68,1737418500000,2,,0,,0,0,0,0,0,false
,4,2710.03,0,2710.89,2709.85,2710.89,2709.2,1737418560000,4,,0,,0,0,0,0,0,false
,3,2709.9233,0,2709.86,2709.85,2710.06,2709.85,1737418620000,3,,0,,0,0,0,0,0,false
,2,2710.335,0,2710.23,2710.44,2710.44,2710.23,1737418680000,2,,0,,0,0,0,0,0,false
,3,2710.1867,0,2710.43,2709.9,2710.43,2709.9,1737418740000,3,,0,,0,0,0,0,0,false
,2,2710.175,0,2710.18,2710.17,2710.18,2710.17,1737418800000,2,,0,,0,0,0,0,0,false
,4,2709.815,0,2709.85,2709.99,2710.42,2709,1737418860000,4,,0,,0,0,0,0,0,false
,3,2710.1767,0,2710.13,2709.99,2710.41,2709.99,1737418920000,3,,0,,0,0,0,0,0,false
,2,2709.505,0,2709.5,2709.51,2709.51,2709.5,1737418980000,2,,0,,0,0,0,0,0,false
,3,2709.98,0,2710.03,2709.82,2710.09,2709.82,1737419040000,3,,0,,0,0,0,0,0,false
,2,2709.96,0,2709.84,2710.08,2710.08,2709.84,1737419100000,2,,0,,0,0,0,0,0,false
,3,2709.8667,0,2709.87,2709.89,2709.89,2709.84,1737419160000,3,,0,,0,0,0,0,0,false
,3,2709.79,0,2709.71,2709.89,2709.89,2709.71,1737419220000,3,,0,,0,0,0,0,0,false
,2,2709.6,0,2709.65,2709.55,2709.65,2709.55,1737419280000,2,,0,,0,0,0,0,0,false
,3,2709.6433,0,2709.58,2709.7,2709.7,2709.58,1737419340000,3,,0,,0,0,0,0,0,false
,2,2710.28,0,2709.95,2710.61,2710.61,2709.95,1737419400000,2,,0,,0,0,0,0,0,false
,3,2710.1033,0,2710.33,2710.03,2710.33,2709.95,1737419460000,3,,0,,0,0,0,0,0,false
,2,2710.515,0,2710.36,2710.67,2710.67,2710.36,1737419520000,2,,0,,0,0,0,0,0,false
,3,2710.61,0,2710.03,2711.02,2711.02,2710.03,1737419580000,3,,0,,0,0,0,0,0,false
,3,2710.77,0,2710.82,2710.71,2710.82,2710.71,1737419640000,3,,0,,0,0,0,0,0,false
,2,2709.705,0,2709.7,2709.71,2709.71,2709.7,1737419700000,2,,0,,0,0,0,0,0,false
,3,2709.93,0,2709.75,2709.65,2710.39,2709.65,1737419760000,3,,0,,0,0,0,0,0,false
,2,2709.85,0,2709.85,2709.85,2709.85,2709.85,1737419820000,2,,0,,0,0,0,0,0,false
,3,2709.7733,0,2709.65,2709.78,2709.89,2709.65,1737419880000,3,,0,,0,0,0,0,0,false
,3,2709.91,0,2709.89,2709.95,2709.95,2709.89,1737419940000,3,,0,,0,0,0,0,0,false
,2,2710.14,0,2710.12,2710.16,2710.16,2710.12,1737420000000,2,,0,,0,0,0,0,0,false
,3,2709.5533,0,2709.77,2708.77,2710.12,2708.77,1737420060000,3,,0,,0,0,0,0,0,false
,2,2708.92,0,2708.95,2708.89,2708.95,2708.89,1737420120000,2,,0,,0,0,0,0,0,false
,3,2709.2267,0,2709.51,2709.28,2709.51,2708.89,1737420180000,3,,0,,0,0,0,0,0,false
,3,2709.4433,0,2709.58,2709.86,2709.86,2708.89,1737420240000,3,,0,,0,0,0,0,0,false
,2,2710.18,0,2709.91,2710.45,2710.45,2709.91,1737420300000,2,,0,,0,0,0,0,0,false
,3,2710.09,0,2710.39,2710.43,2710.43,2709.45,1737420360000,3,,0,,0,0,0,0,0,false
,2,2710.325,0,2710.4,2710.25,2710.4,2710.25,1737420420000,2,,0,,0,0,0,0,0,false
,3,2710.1267,0,2710.43,2710,2710.43,2709.95,1737420480000,3,,0,,0,0,0,0,0,false
,3,2709.5833,0,2710.04,2708.76,2710.04,2708.76,1737420540000,3,,0,,0,0,0,0,0,false
,2,2707.255,0,2708.18,2706.33,2708.18,2706.33,1737420600000,2,,0,,0,0,0,0,0,false
,3,2706.68,0,2705.07,2706.67,2708.3,2705.07,1737420660000,3,,0,,0,0,0,0,0,false
,2,2705.845,0,2706.04,2705.65,2706.04,2705.65,1737420720000,2,,0,,0,0,0,0,0,false
,3,2704.8033,0,2706.58,2704.15,2706.58,2703.68,1737420780000,3,,0,,0,0,0,0,0,false
,3,2703.8967,0,2703.18,2703.48,2705.03,2703.18,1737420840000,3,,0,,0,0,0,0,0,false
,2,2704.4,0,2704.68,2704.12,2704.68,2704.12,1737420900000,2,,0,,0,0,0,0,0,false
,3,2703.7733,0,2703.25,2703.67,2704.4,2703.25,1737420960000,3,,0,,0,0,0,0,0,false
,2,2704.175,0,2704.34,2704.01,2704.34,2704.01,1737421020000,2,,0,,0,0,0,0,0,false
,3,2704.2867,0,2703.26,2704.57,2705.03,2703.26,1737421080000,3,,0,,0,0,0,0,0,false
,3,2704.8733,0,2704.69,2705.32,2705.32,2704.61,1737421140000,3,,0,,0,0,0,0,0,false
,2,2704.45,0,2704.27,2704.63,2704.63,2704.27,1737421200000,2,,0,,0,0,0,0,0,false
,3,2705.2333,0,2705.93,2705.5,2705.93,2704.27,1737421260000,3,,0,,0,0,0,0,0,false
,2,2706.17,0,2706.23,2706.11,2706.23,2706.11,1737421320000,2,,0,,0,0,0,0,0,false
,3,2706.06,0,2705.44,2705.96,2706.78,2705.44,1737421380000,3,,0,,0,0,0,0,0,false
,3,2706.1767,0,2705.44,2706.06,2707.03,2705.44,1737421440000,3,,0,,0,0,0,0,0,false
,2,2706.935,0,2706.82,2707.05,2707.05,2706.82,1737421500000,2,,0,,0,0,0,0,0,false
,3,2707.1267,0,2707.89,2707.4,2707.89,2706.09,1737421560000,3,,0,,0,0,0,0,0,false
,2,2707.435,0,2707.35,2707.52,2707.52,2707.35,1737421620000,2,,0,,0,0,0,0,0,false
,3,2707.1667,0,2707.4,2707.14,2707.4,2706.96,1737421680000,3,,0,,0,0,0,0,0,false
,3,2706.5867,0,2706.41,2706.17,2707.18,2706.17,1737421740000,3,,0,,0,0,0,0,0,false
,2,2707.4,0,2707.39,2707.41,2707.41,2707.39,1737421800000,2,,0,,0,0,0,0,0,false
,3,2707.2333,0,2707.46,2707.65,2707.65,2706.59,1737421860000,3,,0,,0,0,0,0,0,false
,2,2709.21,0,2708.95,2709.47,2709.47,2708.95,1737421920000,2,,0,,0,0,0,0,0,false
,3,2709.51,0,2707.65,2710.59,2710.59,2707.65,1737421980000,3,,0,,0,0,0,0,0,false
,2,2710.45,0,2710.41,2710.49,2710.49,2710.41,1737422040000,2,,0,,0,0,0,0,0,false
,2,2710.25,0,2710.32,2710.18,2710.32,2710.18,1737422100000,2,,0,,0,0,0,0,0,false
,3,2710.3467,0,2710.47,2710.25,2710.47,2710.25,1737422160000,3,,0,,0,0,0,0,0,false
,2,2710.215,0,2710.25,2710.18,2710.25,2710.18,1737422220000,2,,0,,0,0,0,0,0,false
,3,2709.78,0,2710.25,2709.46,2710.25,2709.46,1737422280000,3,,0,,0,0,0,0,0,false
,3,2708.9833,0,2708.54,2708.55,2709.86,2708.54,1737422340000,3,,0,,0,0,0,0,0,false
,2,2708.75,0,2708.51,2708.99,2708.99,2708.51,1737422400000,2,,0,,0,0,0,0,0,false
,3,2709.2467,0,2709.47,2709.76,2709.76,2708.51,1737422460000,3,,0,,0,0,0,0,0,false
,2,2709.635,0,2710.05,2709.22,2710.05,2709.22,1737422520000,2,,0,,0,0,0,0,0,false
,3,2709.6867,0,2709.21,2710.16,2710.16,2709.21,1737422580000,3,,0,,0,0,0,0,0,false
,3,2710.0133,0,2709.8,2710.55,2710.55,2709.69,1737422640000,3,,0,,0,0,0,0,0,false
,2,2710.165,0,2710.08,2710.25,2710.25,2710.08,1737422700000,2,,0,,0,0,0,0,0,false
,3,2710.6333,0,2710.98,2710.84,2710.98,2710.08,1737422760000,3,,0,,0,0,0,0,0,false
,2,2712.19,0,2711.46,2712.92,2712.92,2711.46,1737422820000,2,,0,,0,0,0,0,0,false
,3,2711.8033,0,2710.84,2712.21,2712.36,2710.84,1737422880000,3,,0,,0,0,0,0,0,false
,3,2711.9167,0,2711.25,2712.21,2712.29,2711.25,1737422940000,3,,0,,0,0,0,0,0,false
,2,2712.435,0,2712.49,2712.38,2712.49,2712.38,1737423000000,2,,0,,0,0,0,0,0,false
,3,2712.4433,0,2712.68,2712.16,2712.68,2712.16,1737423060000,3,,0,,0,0,0,0,0,false
,2,2712.285,0,2712.21,2712.36,2712.36,2712.21,1737423120000,2,,0,,0,0,0,0,0,false
,3,2712.2167,0,2712.16,2712.56,2712.56,2711.93,1737423180000,3,,0,,0,0,0,0,0,false
,3,2712.15,0,2712.19,2712.51,2712.51,2711.75,1737423240000,3,,0,,0,0,0,0,0,false
,2,2711.99,0,2712.12,2711.86,2712.12,2711.86,1737423300000,2,,0,,0,0,0,0,0,false
,3,2711.9667,0,2711.99,2711.79,2712.12,2711.79,1737423360000,3,,0,,0,0,0,0,0,false
,2,2712.115,0,2712.04,2712.19,2712.19,2712.04,1737423420000,2,,0,,0,0,0,0,0,false
,3,2711.9133,0,2711.79,2712.39,2712.39,2711.56,1737423480000,3,,0,,0,0,0,0,0,false
,3,2712.4533,0,2712.27,2712.2,2712.89,2712.2,1737423540000,3,,0,,0,0,0,0,0,false
,2,2712.91,0,2712.89,2712.93,2712.93,2712.89,1737423600000,2,,0,,0,0,0,0,0,false
,3,2713.5233,0,2713.48,2714.2,2714.2,2712.89,1737423660000,3,,0,,0,0,0,0,0,false
,2,2714.96,0,2714.59,2715.33,2715.33,2714.59,1737423720000,2,,0,,0,0,0,0,0,false
,2,2715.695,0,2715.45,2715.94,2715.94,2715.45,1737423780000,2,,0,,0,0,0,0,0,false
,3,2715.89,0,2715.96,2715.94,2715.96,2715.77,1737423840000,3,,0,,0,0,0,0,0,false
,2,2716.195,0,2716.19,2716.2,2716.2,2716.19,1737423900000,2,,0,,0,0,0,0,0,false
,3,2716.17,0,2716.6,2715.7,2716.6,2715.7,1737423960000,3,,0,,0,0,0,0,0,false
,2,2715.045,0,2715.56,2714.53,2715.56,2714.53,1737424020000,2,,0,,0,0,0,0,0,false
,3,2715.61,0,2716.03,2715.98,2716.03,2714.82,1737424080000,3,,0,,0,0,0,0,0,false
,3,2715.4067,0,2715.86,2714.83,2715.86,2714.83,1737424140000,3,,0,,0,0,0,0,0,false
,2,2715.34,0,2715.3,2715.38,2715.38,2715.3,1737424200000,2,,0,,0,0,0,0,0,false
,3,2715.7033,0,2715.75,2716.06,2716.06,2715.3,1737424260000,3,,0,,0,0,0,0,0,false
,2,2715.295,0,2715.53,2715.06,2715.53,2715.06,1737424320000,2,,0,,0,0,0,0,0,false
,3,2715.71,0,2716.06,2715.74,2716.06,2715.33,1737424380000,3,,0,,0,0,0,0,0,false
,3,2715.97,0,2716.15,2715.74,2716.15,2715.74,1737424440000,3,,0,,0,0,0,0,0,false
,2,2717.035,0,2716.74,2717.33,2717.33,2716.74,1737424500000,2,,0,,0,0,0,0,0,false
,3,2717.9667,0,2718.54,2718.9,2718.9,2716.46,1737424560000,3,,0,,0,0,0,0,0,false
,2,2718.84,0,2718.95,2718.73,2718.95,2718.73,1737424620000,2,,0,,0,0,0,0,0,false
,2,2718.67,0,2718.64,2718.7,2718.7,2718.64,1737424680000,2,,0,,0,0,0,0,0,false
,3,2718.3733,0,2718.31,2718.7,2718.7,2718.11,1737424740000,3,,0,,0,0,0,0,0,false
,2,2717.98,0,2717.95,2718.01,2718.01,2717.95,1737424800000,2,,0,,0,0,0,0,0,false
,3,2718.17,0,2718.25,2718.31,2718.31,2717.95,1737424860000,3,,0,,0,0,0,0,0,false
,2,2718.515,0,2718.55,2718.48,2718.55,2718.48,1737424920000,2,,0,,0,0,0,0,0,false
,3,2718.7967,0,2718.31,2719.35,2719.35,2718.31,1737424980000,3,,0,,0,0,0,0,0,false
,3,2719.26,0,2719.51,2718.74,2719.53,2718.74,1737425040000,3,,0,,0,0,0,0,0,false
,2,2720.27,0,2719.85,2720.69,2720.69,2719.85,1737425100000,2,,0,,0,0,0,0,0,false
,3,2719.6633,0,2719.91,2719.79,2719.91,2719.29,1737425160000,3,,0,,0,0,0,0,0,false
,2,2719.865,0,2719.81,2719.92,2719.92,2719.81,1737425220000,2,,0,,0,0,0,0,0,false
,3,2719.8133,0,2719.79,2719.77,2719.88,2719.77,1737425280000,3,,0,,0,0,0,0,0,false
