T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,2,2360.905,0,2360.95,2360.86,2360.95,2360.86,1718928000000,2,,0,,0,0,0,0,0,false
,3,2360.94,0,2360.9,2360.97,2360.97,2360.9,1718928060000,3,,0,,0,0,0,0,0,false
,2,2361.135,0,2361,2361.27,2361.27,2361,1718928120000,2,,0,,0,0,0,0,0,false
,3,2361.1133,0,2360.97,2361.21,2361.21,2360.97,1718928180000,3,,0,,0,0,0,0,0,false
,4,2360.8525,0,2361.02,2361.13,2361.16,2360.1,1718928240000,4,,0,,0,0,0,0,0,false
,2,2360.935,0,2360.9,2360.97,2360.97,2360.9,1718928300000,2,,0,,0,0,0,0,0,false
,3,2360.9767,0,2361.02,2361.01,2361.02,2360.9,1718928360000,3,,0,,0,0,0,0,0,false
,2,2361.38,0,2361.34,2361.42,2361.42,2361.34,1718928420000,2,,0,,0,0,0,0,0,false
,3,2361.3033,0,2361.01,2361.49,2361.49,2361.01,1718928480000,3,,0,,0,0,0,0,0,false
,3,2361.9333,0,2362.07,2361.49,2362.24,2361.49,1718928540000,3,,0,,0,0,0,0,0,false
,2,2362.175,0,2362.16,2362.19,2362.19,2362.16,1718928600000,2,,0,,0,0,0,0,0,false
,3,2362.2467,0,2362.22,2362.36,2362.36,2362.16,1718928660000,3,,0,,0,0,0,0,0,false
,2,2362.165,0,2362.3,2362.03,2362.3,2362.03,1718928720000,2,,0,,0,0,0,0,0,false
,3,2362.1733,0,2362.36,2362.12,2362.36,2362.04,1718928780000,3,,0,,0,0,0,0,0,false
,3,2362.08,0,2362.07,2362.12,2362.12,2362.05,1718928840000,3,,0,,0,0,0,0,0,false
,2,2361.795,0,2361.66,2361.93,2361.93,2361.66,1718928900000,2,,0,,0,0,0,0,0,false
,3,2361.8333,0,2361.96,2361.81,2361.96,2361.73,1718928960000,3,,0,,0,0,0,0,0,false
,2,2361.69,0,2361.67,2361.71,2361.71,2361.67,1718929020000,2,,0,,0,0,0,0,0,false
,3,2361.4633,0,2361.81,2361.2,2361.81,2361.2,1718929080000,3,,0,,0,0,0,0,0,false
,3,2361.34,0,2361.38,2361.2,2361.44,2361.2,1718929140000,3,,0,,0,0,0,0,0,false
,1,2361.72,0,2361.72,2361.72,2361.72,2361.72,1718929200000,1,,0,,0,0,0,0,0,false
,3,2361.8367,0,2361.83,2361.96,2361.96,2361.72,1718929260000,3,,0,,0,0,0,0,0,false
,2,2362.125,0,2361.93,2362.32,2362.32,2361.93,1718929320000,2,,0,,0,0,0,0,0,false
,3,2362.3,0,2361.96,2362.63,2362.63,2361.96,1718929380000,3,,0,,0,0,0,0,0,false
,3,2362.47,0,2362.59,2362.33,2362.59,2362.33,1718929440000,3,,0,,0,0,0,0,0,false
,2,2362.19,0,2362.2,2362.18,2362.2,2362.18,1718929500000,2,,0,,0,0,0,0,0,false
,3,2362.51,0,2362.72,2362.61,2362.72,2362.2,1718929560000,3,,0,,0,0,0,0,0,false
,2,2362.735,0,2362.66,2362.81,2362.81,2362.66,1718929620000,2,,0,,0,0,0,0,0,false
,3,2362.7167,0,2362.61,2362.75,2362.79,2362.61,1718929680000,3,,0,,0,0,0,0,0,false
,2,2362.855,0,2362.8,2362.91,2362.91,2362.8,1718929740000,2,,0,,0,0,0,0,0,false
,3,2363.2533,0,2362.75,2363.67,2363.67,2362.75,1718929800000,3,,0,,0,0,0,0,0,false
,3,2363.5133,0,2363.6,2363.73,2363.73,2363.21,1718929860000,3,,0,,0,0,0,0,0,false
,2,2363.835,0,2363.72,2363.95,2363.95,2363.72,1718929920000,2,,0,,0,0,0,0,0,false
,3,2363.6733,0,2363.73,2363.65,2363.73,2363.64,1718929980000,3,,0,,0,0,0,0,0,false
,2,2363.615,0,2363.58,2363.65,2363.65,2363.58,1718930040000,2,,0,,0,0,0,0,0,false
,2,2363.22,0,2363.11,2363.33,2363.33,2363.11,1718930100000,2,,0,,0,0,0,0,0,false
,3,2363.0433,0,2363.09,2362.71,2363.33,2362.71,1718930160000,3,,0,,0,0,0,0,0,false
,2,2362.665,0,2362.63,2362.7,2362.7,2362.63,1718930220000,2,,0,,0,0,0,0,0,false
,3,2362.7967,0,2363.08,2362.72,2363.08,2362.59,1718930280000,3,,0,,0,0,0,0,0,false
,2,2362.81,0,2362.79,2362.83,2362.83,2362.79,1718930340000,2,,0,,0,0,0,0,0,false
,3,2362.75,0,2362.72,2362.87,2362.87,2362.66,1718930400000,3,,0,,0,0,0,0,0,false
,4,2362.4425,0,2362.73,2362.58,2362.73,2361.8,1718930460000,4,,0,,0,0,0,0,0,false
,2,2362.535,0,2362.6,2362.47,2362.6,2362.47,1718930520000,2,,0,,0,0,0,0,0,false
,3,2362.3933,0,2362.58,2362.38,2362.58,2362.22,1718930580000,3,,0,,0,0,0,0,0,false
,2,2362.52,0,2362.45,2362.59,2362.59,2362.45,1718930640000,2,,0,,0,0,0,0,0,false
,3,2362.3433,0,2362.38,2362.2,2362.45,2362.2,1718930700000,3,,0,,0,0,0,0,0,false
,3,2362.34,0,2362.32,2362.25,2362.45,2362.25,1718930760000,3,,0,,0,0,0,0,0,false
,2,2362.2,0,2362.21,2362.19,2362.21,2362.19,1718930820000,2,,0,,0,0,0,0,0,false
,3,2362.47,0,2362.25,2362.84,2362.84,2362.25,1718930880000,3,,0,,0,0,0,0,0,false
,2,2363.255,0,2363.16,2363.35,2363.35,2363.16,1718930940000,2,,0,,0,0,0,0,0,false
,3,2363.0567,0,2362.33,2363.38,2363.46,2362.33,1718931000000,3,,0,,0,0,0,0,0,false
,3,2363.3033,0,2363.5,2363.53,2363.53,2362.88,1718931060000,3,,0,,0,0,0,0,0,false
,2,2363.445,0,2363.41,2363.48,2363.48,2363.41,1718931120000,2,,0,,0,0,0,0,0,false
,3,2363.96,0,2363.53,2364.16,2364.19,2363.53,1718931180000,3,,0,,0,0,0,0,0,false
,3,2364.15,0,2364.6,2364.15,2364.6,2363.7,1718931240000,3,,0,,0,0,0,0,0,false
,3,2363.9167,0,2364.11,2363.72,2364.11,2363.72,1718931300000,3,,0,,0,0,0,0,0,false
,3,2363.9067,0,2363.91,2363.89,2363.92,2363.89,1718931360000,3,,0,,0,0,0,0,0,false
,2,2364.195,0,2364.25,2364.14,2364.25,2364.14,1718931420000,2,,0,,0,0,0,0,0,false
,3,2364.0167,0,2363.89,2364.02,2364.14,2363.89,1718931480000,3,,0,,0,0,0,0,0,false
,2,2364,0,2364.02,2363.98,2364.02,2363.98,1718931540000,2,,0,,0,0,0,0,0,false
,3,2363.55,0,2364.02,2362.78,2364.02,2362.78,1718931600000,3,,0,,0,0,0,0,0,false
