T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,2,2942.06,0,2942.05,2942.07,2942.07,2942.05,1740096000000,2,,0,,0,0,0,0,0,false
,3,2941.6333,0,2941.6,2941.88,2941.88,2941.42,1740096060000,3,,0,,0,0,0,0,0,false
,2,2941.345,0,2941.42,2941.27,2941.42,2941.27,1740096120000,2,,0,,0,0,0,0,0,false
,3,2941.2333,0,2941.88,2940.86,2941.88,2940.86,1740096180000,3,,0,,0,0,0,0,0,false
,3,2940.9567,0,2940.96,2940.86,2941.05,2940.86,1740096240000,3,,0,,0,0,0,0,0,false
,2,2940.99,0,2940.92,2941.06,2941.06,2940.92,1740096300000,2,,0,,0,0,0,0,0,false
,3,2941.3133,0,2941.11,2941.91,2941.91,2940.92,1740096360000,3,,0,,0,0,0,0,0,false
,2,2942.01,0,2941.94,2942.08,2942.08,2941.94,1740096420000,2,,0,,0,0,0,0,0,false
,3,2941.9667,0,2941.12,2942.34,2942.44,2941.12,1740096480000,3,,0,,0,0,0,0,0,false
,3,2942.1933,0,2942.07,2942.6,2942.6,2941.91,1740096540000,3,,0,,0,0,0,0,0,false
,2,2941.935,0,2941.89,2941.98,2941.98,2941.89,1740096600000,2,,0,,0,0,0,0,0,false
,3,2941.6533,0,2941.47,2941.6,2941.89,2941.47,1740096660000,3,,0,,0,0,0,0,0,false
,2,2941.715,0,2941.69,2941.74,2941.74,2941.69,1740096720000,2,,0,,0,0,0,0,0,false
,3,2941.5633,0,2941.6,2941.55,2941.6,2941.54,1740096780000,3,,0,,0,0,0,0,0,false
,3,2941.7867,0,2941.84,2941.55,2941.97,2941.55,1740096840000,3,,0,,0,0,0,0,0,false
,2,2941.6,0,2941.75,2941.45,2941.75,2941.45,1740096900000,2,,0,,0,0,0,0,0,false
,3,2941.47,0,2941.25,2941.41,2941.75,2941.25,1740096960000,3,,0,,0,0,0,0,0,false
,2,2941.365,0,2941.44,2941.29,2941.44,2941.29,1740097020000,2,,0,,0,0,0,0,0,false
,3,2941.2133,0,2941.41,2941.13,2941.41,2941.1,1740097080000,3,,0,,0,0,0,0,0,false
,3,2941.1867,0,2941.12,2941.13,2941.31,2941.12,1740097140000,3,,0,,0,0,0,0,0,false
,2,2941.45,0,2941.46,2941.44,2941.46,2941.44,1740097200000,2,,0,,0,0,0,0,0,false
,3,2941.29,0,2941.31,2941.1,2941.46,2941.1,1740097260000,3,,0,,0,0,0,0,0,false
,2,2940.935,0,2940.99,2940.88,2940.99,2940.88,1740097320000,2,,0,,0,0,0,0,0,false
,3,2940.4,0,2941.1,2939.8,2941.1,2939.8,1740097380000,3,,0,,0,0,0,0,0,false
,4,2939.82,0,2940.07,2940.23,2940.23,2938.9,1740097440000,4,,0,,0,0,0,0,0,false
,2,2939.66,0,2939.86,2939.46,2939.86,2939.46,1740097500000,2,,0,,0,0,0,0,0,false
,3,2939.0633,0,2938.86,2938.47,2939.86,2938.47,1740097560000,3,,0,,0,0,0,0,0,false
,2,2938.22,0,2938.35,2938.09,2938.35,2938.09,1740097620000,2,,0,,0,0,0,0,0,false
,3,2937.4533,0,2937,2937.01,2938.35,2937,1740097680000,3,,0,,0,0,0,0,0,false
,3,2937.7267,0,2937.58,2937.26,2938.34,2937.26,1740097740000,3,,0,,0,0,0,0,0,false
,2,2938.065,0,2937.98,2938.15,2938.15,2937.98,1740097800000,2,,0,,0,0,0,0,0,false
,3,2938.7567,0,2939.3,2938.99,2939.3,2937.98,1740097860000,3,,0,,0,0,0,0,0,false
,2,2939.435,0,2939.35,2939.52,2939.52,2939.35,1740097920000,2,,0,,0,0,0,0,0,false
,4,2939.1575,0,2939.45,2939.55,2939.55,2938.2,1740097980000,4,,0,,0,0,0,0,0,false
,3,2939.18,0,2939.02,2939.55,2939.55,2938.97,1740098040000,3,,0,,0,0,0,0,0,false
,2,2938.58,0,2938.63,2938.53,2938.63,2938.53,1740098100000,2,,0,,0,0,0,0,0,false
,3,2938.49,0,2938.28,2938.56,2938.63,2938.28,1740098160000,3,,0,,0,0,0,0,0,false
,2,2938.565,0,2938.62,2938.51,2938.62,2938.51,1740098220000,2,,0,,0,0,0,0,0,false
,3,2938.34,0,2938.18,2938.22,2938.62,2938.18,1740098280000,3,,0,,0,0,0,0,0,false
,3,2938.69,0,2938.36,2938.22,2939.49,2938.22,1740098340000,3,,0,,0,0,0,0,0,false
,2,2939.295,0,2939.56,2939.03,2939.56,2939.03,1740098400000,2,,0,,0,0,0,0,0,false
,3,2939.0233,0,2939.04,2939.33,2939.33,2938.7,1740098460000,3,,0,,0,0,0,0,0,false
,2,2939.075,0,2939.01,2939.14,2939.14,2939.01,1740098520000,2,,0,,0,0,0,0,0,false
,3,2939.0667,0,2938.95,2939.24,2939.24,2938.95,1740098580000,3,,0,,0,0,0,0,0,false
,3,2939.33,0,2939.3,2939.24,2939.45,2939.24,1740098640000,3,,0,,0,0,0,0,0,false
,2,2939.38,0,2939.25,2939.51,2939.51,2939.25,1740098700000,2,,0,,0,0,0,0,0,false
,3,2939.43,0,2939.79,2939.25,2939.79,2939.25,1740098760000,3,,0,,0,0,0,0,0,false
,2,2939.345,0,2939.3,2939.39,2939.39,2939.3,1740098820000,2,,0,,0,0,0,0,0,false
,3,2939.4067,0,2939.39,2939.53,2939.53,2939.3,1740098880000,3,,0,,0,0,0,0,0,false
,3,2939.6233,0,2939.62,2939.53,2939.72,2939.53,1740098940000,3,,0,,0,0,0,0,0,false
,2,2939.755,0,2939.83,2939.68,2939.83,2939.68,1740099000000,2,,0,,0,0,0,0,0,false
,3,2939.91,0,2940.03,2939.87,2940.03,2939.83,1740099060000,3,,0,,0,0,0,0,0,false
,2,2939.51,0,2939.66,2939.36,2939.66,2939.36,1740099120000,2,,0,,0,0,0,0,0,false
,4,2939.365,0,2938.3,2939.89,2939.89,2938.3,1740099180000,4,,0,,0,0,0,0,0,false
,3,2939.7233,0,2939.68,2939.89,2939.89,2939.6,1740099240000,3,,0,,0,0,0,0,0,false
,2,2939.37,0,2939.4,2939.34,2939.4,2939.34,1740099300000,2,,0,,0,0,0,0,0,false
,3,2939.5633,0,2939.63,2939.66,2939.66,2939.4,1740099360000,3,,0,,0,0,0,0,0,false
,2,2939.98,0,2939.94,2940.02,2940.02,2939.94,1740099420000,2,,0,,0,0,0,0,0,false
,3,2939.8,0,2939.72,2939.74,2939.94,2939.72,1740099480000,3,,0,,0,0,0,0,0,false
,3,2939.8633,0,2940.09,2939.74,2940.09,2939.74,1740099540000,3,,0,,0,0,0,0,0,false
,2,2941.665,0,2941.47,2941.86,2941.86,2941.47,1740099600000,2,,0,,0,0,0,0,0,false
,3,2941.2833,0,2941.69,2942.1,2942.1,2940.06,1740099660000,3,,0,,0,0,0,0,0,false
,2,2942.555,0,2943.02,2942.09,2943.02,2942.09,1740099720000,2,,0,,0,0,0,0,0,false
,3,2941.9633,0,2942.13,2943.35,2943.35,2940.41,1740099780000,3,,0,,0,0,0,0,0,false
,3,2943.34,0,2944,2942.17,2944,2942.17,1740099840000,3,,0,,0,0,0,0,0,false
,2,2943.575,0,2943.2,2943.95,2943.95,2943.2,1740099900000,2,,0,,0,0,0,0,0,false
,3,2944.02,0,2943.85,2945.01,2945.01,2943.2,1740099960000,3,,0,,0,0,0,0,0,false
,2,2944.415,0,2944.26,2944.57,2944.57,2944.26,1740100020000,2,,0,,0,0,0,0,0,false
,3,2944.4267,0,2944.66,2944.36,2944.66,2944.26,1740100080000,3,,0,,0,0,0,0,0,false
,3,2945.1833,0,2945.45,2944.36,2945.74,2944.36,1740100140000,3,,0,,0,0,0,0,0,false
,2,2945.615,0,2945.63,2945.6,2945.63,2945.6,1740100200000,2,,0,,0,0,0,0,0,false
,3,2945.3,0,2945.99,2945.6,2945.99,2944.31,1740100260000,3,,0,,0,0,0,0,0,false
,2,2945.73,0,2945.65,2945.81,2945.81,2945.65,1740100320000,2,,0,,0,0,0,0,0,false
,3,2945.99,0,2946.23,2946.09,2946.23,2945.65,1740100380000,3,,0,,0,0,0,0,0,false
,2,2945.815,0,2945.6,2946.03,2946.03,2945.6,1740100440000,2,,0,,0,0,0,0,0,false
,3,2946.0833,0,2946.09,2945.94,2946.22,2945.94,1740100500000,3,,0,,0,0,0,0,0,false
,3,2946.3167,0,2946.19,2946.54,2946.54,2946.19,1740100560000,3,,0,,0,0,0,0,0,false
,2,2947.03,0,2946.71,2947.35,2947.35,2946.71,1740100620000,2,,0,,0,0,0,0,0,false
,3,2947.2833,0,2947.42,2948.21,2948.21,2946.22,1740100680000,3,,0,,0,0,0,0,0,false
,2,2948.56,0,2948.55,2948.57,2948.57,2948.55,1740100740000,2,,0,,0,0,0,0,0,false
,3,2948.54,0,2947.68,2949,2949,2947.68,1740100800000,3,,0,,0,0,0,0,0,false
,3,2947.9033,0,2947.98,2948.42,2948.42,2947.31,1740100860000,3,,0,,0,0,0,0,0,false
,2,2947.83,0,2947.79,2947.87,2947.87,2947.79,1740100920000,2,,0,,0,0,0,0,0,false
,2,2947.985,0,2948.2,2947.77,2948.2,2947.77,1740100980000,2,,0,,0,0,0,0,0,false
,2,2947.385,0,2947.43,2947.34,2947.43,2947.34,1740101040000,2,,0,,0,0,0,0,0,false
,3,2947.3967,0,2948.19,2946.42,2948.19,2946.42,1740101100000,3,,0,,0,0,0,0,0,false
,3,2946.5233,0,2946.04,2947.58,2947.58,2945.95,1740101160000,3,,0,,0,0,0,0,0,false
,2,2945.585,0,2945.57,2945.6,2945.6,2945.57,1740101220000,2,,0,,0,0,0,0,0,false
,3,2945.3233,0,2944.97,2945.43,2945.57,2944.97,1740101280000,3,,0,,0,0,0,0,0,false
,3,2944.7367,0,2943.8,2945.32,2945.32,2943.8,1740101340000,3,,0,,0,0,0,0,0,false
,3,2945.3467,0,2945.43,2945.25,2945.43,2945.25,1740101400000,3,,0,,0,0,0,0,0,false
,3,2945.32,0,2945.25,2945.46,2945.46,2945.25,1740101460000,3,,0,,0,0,0,0,0,false
,2,2945.1,0,2945.08,2945.12,2945.12,2945.08,1740101520000,2,,0,,0,0,0,0,0,false
,4,2945.12,0,2945.7,2945.24,2945.7,2944.4,1740101580000,4,,0,,0,0,0,0,0,false
,2,2945.265,0,2945.15,2945.38,2945.38,2945.15,1740101640000,2,,0,,0,0,0,0,0,false
,3,2945.2533,0,2945.24,2945.33,2945.33,2945.19,1740101700000,3,,0,,0,0,0,0,0,false
,3,2944.8,0,2944.7,2945.33,2945.33,2944.37,1740101760000,3,,0,,0,0,0,0,0,false
,2,2944.545,0,2944.91,2944.18,2944.91,2944.18,1740101820000,2,,0,,0,0,0,0,0,false
,3,2944.3067,0,2944.08,2944.08,2944.76,2944.08,1740101880000,3,,0,,0,0,0,0,0,false
,2,2941.765,0,2942.23,2941.3,2942.23,2941.3,1740101940000,2,,0,,0,0,0,0,0,false
,3,2941.8567,0,2944.08,2939.46,2944.08,2939.46,1740102000000,3,,0,,0,0,0,0,0,false
,4,2940.21,0,2940.36,2942.02,2942.02,2939.1,1740102060000,4,,0,,0,0,0,0,0,false
,2,2939.8,0,2939.87,2939.73,2939.87,2939.73,1740102120000,2,,0,,0,0,0,0,0,false
,3,2937.9267,0,2937.34,2936.57,2939.87,2936.57,1740102180000,3,,0,,0,0,0,0,0,false
,2,2936.155,0,2935.97,2936.34,2936.34,2935.97,1740102240000,2,,0,,0,0,0,0,0,false
,2,2936.165,0,2936.21,2936.12,2936.21,2936.12,1740102300000,2,,0,,0,0,0,0,0,false
,3,2935.17,0,2934.88,2936.12,2936.12,2934.51,1740102360000,3,,0,,0,0,0,0,0,false
,3,2932.55,0,2932.77,2933.08,2933.08,2931.8,1740102420000,3,,0,,0,0,0,0,0,false
,3,2932.2533,0,2932.44,2931.77,2932.55,2931.77,1740102480000,3,,0,,0,0,0,0,0,false
,2,2932.445,0,2932.7,2932.19,2932.7,2932.19,1740102540000,2,,0,,0,0,0,0,0,false
,3,2930.4533,0,2932.43,2929.09,2932.43,2929.09,1740102600000,3,,0,,0,0,0,0,0,false
,3,2928.9933,0,2928.39,2930.56,2930.56,2928.03,1740102660000,3,,0,,0,0,0,0,0,false
,2,2927.365,0,2927.01,2927.72,2927.72,2927.01,1740102720000,2,,0,,0,0,0,0,0,false
,3,2928.1567,0,2928.12,2929.26,2929.26,2927.09,1740102780000,3,,0,,0,0,0,0,0,false
,2,2930.72,0,2931.06,2930.38,2931.06,2930.38,1740102840000,2,,0,,0,0,0,0,0,false
,3,2930.06,0,2928.13,2930.5,2931.55,2928.13,1740102900000,3,,0,,0,0,0,0,0,false
,4,2930.215,0,2930.64,2930.5,2930.64,2929.3,1740102960000,4,,0,,0,0,0,0,0,false
,2,2929.61,0,2929.96,2929.26,2929.96,2929.26,1740103020000,2,,0,,0,0,0,0,0,false
,3,2928.2533,0,2927.31,2927.41,2930.04,2927.31,1740103080000,3,,0,,0,0,0,0,0,false
,2,2928.165,0,2927.76,2928.57,2928.57,2927.76,1740103140000,2,,0,,0,0,0,0,0,false
,3,2927.2433,0,2927.41,2927.01,2927.41,2927.01,1740103200000,3,,0,,0,0,0,0,0,false
,3,2927.2767,0,2927.15,2927.01,2927.67,2927.01,1740103260000,3,,0,,0,0,0,0,0,false
,2,2928.22,0,2927.48,2928.96,2928.96,2927.48,1740103320000,2,,0,,0,0,0,0,0,false
,3,2928.6167,0,2928.66,2929.95,2929.95,2927.24,1740103380000,3,,0,,0,0,0,0,0,false
,2,2930.355,0,2929.76,2930.95,2930.95,2929.76,1740103440000,2,,0,,0,0,0,0,0,false
,2,2931.3,0,2930.89,2931.71,2931.71,2930.89,1740103500000,2,,0,,0,0,0,0,0,false
,2,2933.995,0,2932.56,2935.43,2935.43,2932.56,1740103560000,2,,0,,0,0,0,0,0,false
,2,2936.205,0,2936.91,2935.5,2936.91,2935.5,1740103620000,2,,0,,0,0,0,0,0,false
,3,2935.1933,0,2936.28,2936.09,2936.28,2933.21,1740103680000,3,,0,,0,0,0,0,0,false
,2,2936.285,0,2936.18,2936.39,2936.39,2936.18,1740103740000,2,,0,,0,0,0,0,0,false
,3,2935.96,0,2936.09,2935.46,2936.33,2935.46,1740103800000,3,,0,,0,0,0,0,0,false
,3,2935.7267,0,2935.74,2936.32,2936.32,2935.12,1740103860000,3,,0,,0,0,0,0,0,false
,2,2936.07,0,2936.04,2936.1,2936.1,2936.04,1740103920000,2,,0,,0,0,0,0,0,false
,3,2936.61,0,2936.45,2937.57,2937.57,2935.81,1740103980000,3,,0,,0,0,0,0,0,false
,2,2938.21,0,2938.2,2938.22,2938.22,2938.2,1740104040000,2,,0,,0,0,0,0,0,false
,3,2937.4633,0,2936.46,2937.74,2938.19,2936.46,1740104100000,3,,0,,0,0,0,0,0,false
,3,2937.7667,0,2937.66,2937.42,2938.22,2937.42,1740104160000,3,,0,,0,0,0,0,0,false
,2,2938.96,0,2938.7,2939.22,2939.22,2938.7,1740104220000,2,,0,,0,0,0,0,0,false
,3,2938.7833,0,2939.12,2938.97,2939.12,2938.26,1740104280000,3,,0,,0,0,0,0,0,false
,2,2939.69,0,2939.59,2939.79,2939.79,2939.59,1740104340000,2,,0,,0,0,0,0,0,false
,3,2939.3333,0,2938.97,2939.28,2939.75,2938.97,1740104400000,3,,0,,0,0,0,0,0,false
,3,2939.2267,0,2939.24,2939.74,2939.74,2938.7,1740104460000,3,,0,,0,0,0,0,0,false
,2,2938.46,0,2938.46,2938.46,2938.46,2938.46,1740104520000,2,,0,,0,0,0,0,0,false
,3,2938.8667,0,2939.29,2938.85,2939.29,2938.46,1740104580000,3,,0,,0,0,0,0,0,false
