T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,3,2723.5167,0,2723.6,2723.44,2723.6,2723.44,1729468800000,3,,0,,0,0,0,0,0,false
,3,2723.15,0,2722.85,2723.44,2723.44,2722.85,1729468860000,3,,0,,0,0,0,0,0,false
,2,2723.06,0,2723.07,2723.05,2723.07,2723.05,1729468920000,2,,0,,0,0,0,0,0,false
,3,2723.0567,0,2723.09,2723.01,2723.09,2723.01,1729468980000,3,,0,,0,0,0,0,0,false
,2,2723.145,0,2723.15,2723.14,2723.15,2723.14,1729469040000,2,,0,,0,0,0,0,0,false
,3,2723.2833,0,2723.22,2723.48,2723.48,2723.15,1729469100000,3,,0,,0,0,0,0,0,false
,3,2723.5633,0,2723.6,2723.48,2723.61,2723.48,1729469160000,3,,0,,0,0,0,0,0,false
,2,2723.835,0,2723.86,2723.81,2723.86,2723.81,1729469220000,2,,0,,0,0,0,0,0,false
,3,2723.9633,0,2723.83,2724.2,2724.2,2723.83,1729469280000,3,,0,,0,0,0,0,0,false
,2,2723.85,0,2724.1,2723.6,2724.1,2723.6,1729469340000,2,,0,,0,0,0,0,0,false
,3,2723.4167,0,2723.16,2723.23,2723.86,2723.16,1729469400000,3,,0,,0,0,0,0,0,false
,3,2723.1567,0,2723.3,2723.23,2723.3,2722.94,1729469460000,3,,0,,0,0,0,0,0,false
,2,2722.78,0,2722.93,2722.63,2722.93,2722.63,1729469520000,2,,0,,0,0,0,0,0,false
,3,2722.74,0,2722.74,2722.55,2722.93,2722.55,1729469580000,3,,0,,0,0,0,0,0,false
,2,2722.495,0,2722.54,2722.45,2722.54,2722.45,1729469640000,2,,0,,0,0,0,0,0,false
,3,2722.5867,0,2722.39,2722.83,2722.83,2722.39,1729469700000,3,,0,,0,0,0,0,0,false
,3,2722.7467,0,2723.01,2722.4,2723.01,2722.4,1729469760000,3,,0,,0,0,0,0,0,false
,2,2722.495,0,2722.54,2722.45,2722.54,2722.45,1729469820000,2,,0,,0,0,0,0,0,false
,3,2722.53,0,2722.71,2722.34,2722.71,2722.34,1729469880000,3,,0,,0,0,0,0,0,false
,2,2722.475,0,2722.43,2722.52,2722.52,2722.43,1729469940000,2,,0,,0,0,0,0,0,false
,3,2722.32,0,2722.35,2722.18,2722.43,2722.18,1729470000000,3,,0,,0,0,0,0,0,false
,3,2722.19,0,2722.27,2722.18,2722.27,2722.12,1729470060000,3,,0,,0,0,0,0,0,false
,2,2721.72,0,2721.68,2721.76,2721.76,2721.68,1729470120000,2,,0,,0,0,0,0,0,false
,3,2722.2433,0,2722.06,2722.87,2722.87,2721.8,1729470180000,3,,0,,0,0,0,0,0,false
,2,2723.44,0,2723.37,2723.51,2723.51,2723.37,1729470240000,2,,0,,0,0,0,0,0,false
,3,2723.2567,0,2723.77,2723.53,2723.77,2722.47,1729470300000,3,,0,,0,0,0,0,0,false
,3,2723.2867,0,2722.92,2723.53,2723.53,2722.92,1729470360000,3,,0,,0,0,0,0,0,false
,2,2723.38,0,2723.56,2723.2,2723.56,2723.2,1729470420000,2,,0,,0,0,0,0,0,false
,3,2723.5867,0,2723.41,2723.79,2723.79,2723.41,1729470480000,3,,0,,0,0,0,0,0,false
,2,2723.4,0,2723.97,2722.83,2723.97,2722.83,1729470540000,2,,0,,0,0,0,0,0,false
,3,2723.56,0,2723.41,2723.81,2723.81,2723.41,1729470600000,3,,0,,0,0,0,0,0,false
,3,2723.8433,0,2723.74,2723.85,2723.94,2723.74,1729470660000,3,,0,,0,0,0,0,0,false
,2,2724.52,0,2724.47,2724.57,2724.57,2724.47,1729470720000,2,,0,,0,0,0,0,0,false
,3,2724.4167,0,2724.5,2724.37,2724.5,2724.37,1729470780000,3,,0,,0,0,0,0,0,false
,2,2724.86,0,2724.84,2724.88,2724.88,2724.84,1729470840000,2,,0,,0,0,0,0,0,false
,3,2724.79,0,2724.62,2725.06,2725.06,2724.62,1729470900000,3,,0,,0,0,0,0,0,false
,3,2725.1667,0,2725.21,2724.63,2725.66,2724.63,1729470960000,3,,0,,0,0,0,0,0,false
,2,2724.975,0,2725.23,2724.72,2725.23,2724.72,1729471020000,2,,0,,0,0,0,0,0,false
,3,2724.8067,0,2724.78,2724.46,2725.18,2724.46,1729471080000,3,,0,,0,0,0,0,0,false
,2,2723.955,0,2724.15,2723.76,2724.15,2723.76,1729471140000,2,,0,,0,0,0,0,0,false
,3,2723.8,0,2723.67,2723.58,2724.15,2723.58,1729471200000,3,,0,,0,0,0,0,0,false
,3,2723.6867,0,2723.8,2723.58,2723.8,2723.58,1729471260000,3,,0,,0,0,0,0,0,false
,3,2723.06,0,2723.38,2723.6,2723.6,2722.2,1729471320000,3,,0,,0,0,0,0,0,false
,3,2723.5,0,2723.58,2723.54,2723.58,2723.38,1729471380000,3,,0,,0,0,0,0,0,false
,2,2723.55,0,2723.5,2723.6,2723.6,2723.5,1729471440000,2,,0,,0,0,0,0,0,false
,3,2723.4533,0,2723.31,2723.55,2723.55,2723.31,1729471500000,3,,0,,0,0,0,0,0,false
,3,2723.7767,0,2723.76,2723.55,2724.02,2723.55,1729471560000,3,,0,,0,0,0,0,0,false
,2,2723.36,0,2723.41,2723.31,2723.41,2723.31,1729471620000,2,,0,,0,0,0,0,0,false
,4,2723.1075,0,2722.94,2723.7,2723.7,2722.85,1729471680000,4,,0,,0,0,0,0,0,false
,2,2722.62,0,2722.44,2722.8,2722.8,2722.44,1729471740000,2,,0,,0,0,0,0,0,false
,2,2722.815,0,2722.78,2722.85,2722.85,2722.78,1729471800000,2,,0,,0,0,0,0,0,false
