T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,3,2652.25,0,2652.2,2652.36,2652.36,2652.19,1732147200000,3,,0,,0,0,0,0,0,false
,2,2652.42,0,2652.39,2652.45,2652.45,2652.39,1732147260000,2,,0,,0,0,0,0,0,false
,3,2652.2633,0,2652.36,2652.12,2652.36,2652.12,1732147320000,3,,0,,0,0,0,0,0,false
,3,2652.2467,0,2652.33,2652.29,2652.33,2652.12,1732147380000,3,,0,,0,0,0,0,0,false
,2,2652.39,0,2652.26,2652.52,2652.52,2652.26,1732147440000,2,,0,,0,0,0,0,0,false
,3,2652.33,0,2652.34,2652.39,2652.39,2652.26,1732147500000,3,,0,,0,0,0,0,0,false
,3,2652.33,0,2652.7,2652.79,2652.79,2651.5,1732147560000,3,,0,,0,0,0,0,0,false
,3,2652.48,0,2652.39,2652.34,2652.71,2652.34,1732147620000,3,,0,,0,0,0,0,0,false
,3,2652.0833,0,2652.03,2652.34,2652.34,2651.88,1732147680000,3,,0,,0,0,0,0,0,false
,2,2651.97,0,2651.91,2652.03,2652.03,2651.91,1732147740000,2,,0,,0,0,0,0,0,false
,3,2652.0267,0,2652.11,2652.06,2652.11,2651.91,1732147800000,3,,0,,0,0,0,0,0,false
,3,2651.45,0,2651.81,2651.84,2651.84,2650.7,1732147860000,3,,0,,0,0,0,0,0,false
,3,2652.05,0,2652.06,2652.09,2652.09,2652,1732147920000,3,,0,,0,0,0,0,0,false
,3,2652.1867,0,2652.47,2652.09,2652.47,2652,1732147980000,3,,0,,0,0,0,0,0,false
,2,2651.97,0,2652.05,2651.89,2652.05,2651.89,1732148040000,2,,0,,0,0,0,0,0,false
,3,2652.1333,0,2651.99,2652.36,2652.36,2651.99,1732148100000,3,,0,,0,0,0,0,0,false
,2,2652.31,0,2652.14,2652.48,2652.48,2652.14,1732148160000,2,,0,,0,0,0,0,0,false
,3,2652.2867,0,2652,2652.47,2652.47,2652,1732148220000,3,,0,,0,0,0,0,0,false
,3,2652.7067,0,2652.61,2652.47,2653.04,2652.47,1732148280000,3,,0,,0,0,0,0,0,false
,2,2653.035,0,2652.94,2653.13,2653.13,2652.94,1732148340000,2,,0,,0,0,0,0,0,false
,3,2653.1867,0,2653.37,2653.55,2653.55,2652.64,1732148400000,3,,0,,0,0,0,0,0,false
,2,2654.12,0,2653.73,2654.51,2654.51,2653.73,1732148460000,2,,0,,0,0,0,0,0,false
,3,2654.11,0,2653.55,2654.43,2654.43,2653.55,1732148520000,3,,0,,0,0,0,0,0,false
,3,2654.6267,0,2654.73,2654.43,2654.73,2654.43,1732148580000,3,,0,,0,0,0,0,0,false
,2,2654.17,0,2654.38,2653.96,2654.38,2653.96,1732148640000,2,,0,,0,0,0,0,0,false
,3,2654.3167,0,2654.16,2654.41,2654.41,2654.16,1732148700000,3,,0,,0,0,0,0,0,false
,2,2654.455,0,2654.44,2654.47,2654.47,2654.44,1732148760000,2,,0,,0,0,0,0,0,false
