T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,1,2400.59,0,2400.59,2400.59,2400.59,2400.59,1721595600000,1,,0,,0,0,0,0,0,false
,1,2401.15,0,2401.15,2401.15,2401.15,2401.15,1721595960000,1,,0,,0,0,0,0,0,false
,2,2402.665,0,2402.62,2402.71,2402.71,2402.62,1721599260000,2,,0,,0,0,0,0,0,false
,2,2403.66,0,2403.76,2403.56,2403.76,2403.56,1721599320000,2,,0,,0,0,0,0,0,false
,2,2402.64,0,2402.67,2402.61,2402.67,2402.61,1721599380000,2,,0,,0,0,0,0,0,false
,3,2402.7967,0,2402.95,2403.24,2403.24,2402.2,1721599440000,3,,0,,0,0,0,0,0,false
,2,2403.59,0,2403.65,2403.53,2403.65,2403.53,1721599500000,2,,0,,0,0,0,0,0,false
,3,2402.92,0,2403.15,2403.21,2403.21,2402.4,1721599560000,3,,0,,0,0,0,0,0,false
,2,2402.455,0,2402.44,2402.47,2402.47,2402.44,1721599620000,2,,0,,0,0,0,0,0,false
,3,2402.2533,0,2402.62,2402.64,2402.64,2401.5,1721599680000,3,,0,,0,0,0,0,0,false
,2,2403.49,0,2403.44,2403.54,2403.54,2403.44,1721599740000,2,,0,,0,0,0,0,0,false
,2,2403.55,0,2403.52,2403.58,2403.58,2403.52,1721599800000,2,,0,,0,0,0,0,0,false
,2,2403.685,0,2403.68,2403.69,2403.69,2403.68,1721599860000,2,,0,,0,0,0,0,0,false
,2,2403.93,0,2403.65,2404.21,2404.21,2403.65,1721599920000,2,,0,,0,0,0,0,0,false
,2,2404.34,0,2404.17,2404.51,2404.51,2404.17,1721599980000,2,,0,,0,0,0,0,0,false
,3,2404.37,0,2404.67,2403.9,2404.67,2403.9,1721600040000,3,,0,,0,0,0,0,0,false
,3,2404.6233,0,2405.09,2404.88,2405.09,2403.9,1721600100000,3,,0,,0,0,0,0,0,false
,2,2405.195,0,2405.22,2405.17,2405.22,2405.17,1721600160000,2,,0,,0,0,0,0,0,false
,2,2405.02,0,2405.03,2405.01,2405.03,2405.01,1721600220000,2,,0,,0,0,0,0,0,false
,2,2405.45,0,2405.28,2405.62,2405.62,2405.28,1721600280000,2,,0,,0,0,0,0,0,false
,2,2405.89,0,2405.54,2406.24,2406.24,2405.54,1721600340000,2,,0,,0,0,0,0,0,false
,2,2406.63,0,2406.46,2406.8,2406.8,2406.46,1721600400000,2,,0,,0,0,0,0,0,false
,2,2406.805,0,2406.76,2406.85,2406.85,2406.76,1721600460000,2,,0,,0,0,0,0,0,false
,2,2407.21,0,2406.96,2407.46,2407.46,2406.96,1721600520000,2,,0,,0,0,0,0,0,false
,2,2407.68,0,2407.37,2407.99,2407.99,2407.37,1721600580000,2,,0,,0,0,0,0,0,false
,3,2408.5433,0,2408.44,2409.59,2409.59,2407.6,1721600640000,3,,0,,0,0,0,0,0,false
,2,2409.51,0,2408.93,2410.09,2410.09,2408.93,1721600700000,2,,0,,0,0,0,0,0,false
