T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,1,2621.89,0,2621.89,2621.89,2621.89,2621.89,1727038800000,1,,0,,0,0,0,0,0,false
,3,2619.1233,0,2619.36,2618.52,2619.49,2618.52,1727051760000,3,,0,,0,0,0,0,0,false
,2,2619.47,0,2619.58,2619.36,2619.58,2619.36,1727051820000,2,,0,,0,0,0,0,0,false
,3,2619.1433,0,2619.09,2619.13,2619.21,2619.09,1727051880000,3,,0,,0,0,0,0,0,false
,2,2619.255,0,2619.26,2619.25,2619.26,2619.25,1727051940000,2,,0,,0,0,0,0,0,false
,3,2619.2433,0,2619.32,2619.15,2619.32,2619.15,1727052000000,3,,0,,0,0,0,0,0,false
,3,2618.8933,0,2618.67,2619.15,2619.15,2618.67,1727052060000,3,,0,,0,0,0,0,0,false
,2,2618.81,0,2618.84,2618.78,2618.84,2618.78,1727052120000,2,,0,,0,0,0,0,0,false
,3,2618.8633,0,2618.92,2618.83,2618.92,2618.83,1727052180000,3,,0,,0,0,0,0,0,false
,2,2618.54,0,2618.76,2618.32,2618.76,2618.32,1727052240000,2,,0,,0,0,0,0,0,false
,3,2618.4867,0,2618.45,2618.25,2618.76,2618.25,1727052300000,3,,0,,0,0,0,0,0,false
,3,2618.2567,0,2618.27,2618.25,2618.27,2618.25,1727052360000,3,,0,,0,0,0,0,0,false
,2,2618.585,0,2618.58,2618.59,2618.59,2618.58,1727052420000,2,,0,,0,0,0,0,0,false
,3,2618.4567,0,2618.46,2618.63,2618.63,2618.28,1727052480000,3,,0,,0,0,0,0,0,false
,2,2618.755,0,2618.73,2618.78,2618.78,2618.73,1727052540000,2,,0,,0,0,0,0,0,false
,3,2618.79,0,2618.78,2618.86,2618.86,2618.73,1727052600000,3,,0,,0,0,0,0,0,false
,3,2618.7133,0,2618.69,2618.86,2618.86,2618.59,1727052660000,3,,0,,0,0,0,0,0,false
,2,2618.435,0,2618.43,2618.44,2618.44,2618.43,1727052720000,2,,0,,0,0,0,0,0,false
,3,2618.5833,0,2618.55,2618.44,2618.76,2618.44,1727052780000,3,,0,,0,0,0,0,0,false
,2,2618.795,0,2618.7,2618.89,2618.89,2618.7,1727052840000,2,,0,,0,0,0,0,0,false
,3,2618.8067,0,2618.9,2618.82,2618.9,2618.7,1727052900000,3,,0,,0,0,0,0,0,false
,3,2618.64,0,2618.56,2618.82,2618.82,2618.54,1727052960000,3,,0,,0,0,0,0,0,false
,2,2618.515,0,2618.45,2618.58,2618.58,2618.45,1727053020000,2,,0,,0,0,0,0,0,false
,3,2618.5333,0,2618.5,2618.58,2618.58,2618.5,1727053080000,3,,0,,0,0,0,0,0,false
,2,2618.385,0,2618.45,2618.32,2618.45,2618.32,1727053140000,2,,0,,0,0,0,0,0,false
,3,2617.87,0,2617.76,2617.4,2618.45,2617.4,1727053200000,3,,0,,0,0,0,0,0,false
,3,2617.0567,0,2616.51,2617.67,2617.67,2616.51,1727053260000,3,,0,,0,0,0,0,0,false
,2,2616.29,0,2616.06,2616.52,2616.52,2616.06,1727053320000,2,,0,,0,0,0,0,0,false
,3,2616.9067,0,2617.05,2616.52,2617.15,2616.52,1727053380000,3,,0,,0,0,0,0,0,false
,2,2617.055,0,2617.15,2616.96,2617.15,2616.96,1727053440000,2,,0,,0,0,0,0,0,false
,3,2617.48,0,2617.46,2617.83,2617.83,2617.15,1727053500000,3,,0,,0,0,0,0,0,false
,3,2617.3533,0,2617.28,2617.65,2617.65,2617.13,1727053560000,3,,0,,0,0,0,0,0,false
,2,2617.425,0,2616.94,2617.91,2617.91,2616.94,1727053620000,2,,0,,0,0,0,0,0,false
,3,2617.6467,0,2617.84,2616.95,2618.15,2616.95,1727053680000,3,,0,,0,0,0,0,0,false
,2,2618.125,0,2618.38,2617.87,2618.38,2617.87,1727053740000,2,,0,,0,0,0,0,0,false
,3,2618.06,0,2618.1,2618.32,2618.32,2617.76,1727053800000,3,,0,,0,0,0,0,0,false
,3,2618.1867,0,2618.14,2617.92,2618.5,2617.92,1727053860000,3,,0,,0,0,0,0,0,false
,2,2618.25,0,2618.44,2618.06,2618.44,2618.06,1727053920000,2,,0,,0,0,0,0,0,false
,3,2618.5433,0,2618.72,2618.06,2618.85,2618.06,1727053980000,3,,0,,0,0,0,0,0,false
,1,2619.17,0,2619.17,2619.17,2619.17,2619.17,1727054040000,1,,0,,0,0,0,0,0,false
,3,2619.3333,0,2619.32,2619.51,2619.51,2619.17,1727054100000,3,,0,,0,0,0,0,0,false
,2,2619.88,0,2620.19,2619.57,2620.19,2619.57,1727054160000,2,,0,,0,0,0,0,0,false
,3,2619.3233,0,2619.51,2619.19,2619.51,2619.19,1727054220000,3,,0,,0,0,0,0,0,false
,3,2618.8567,0,2619.05,2619.19,2619.19,2618.33,1727054280000,3,,0,,0,0,0,0,0,false
,2,2618.75,0,2618.29,2619.21,2619.21,2618.29,1727054340000,2,,0,,0,0,0,0,0,false
,3,2619.08,0,2619.29,2619.55,2619.55,2618.4,1727054400000,3,,0,,0,0,0,0,0,false
,2,2619.82,0,2619.79,2619.85,2619.85,2619.79,1727054460000,2,,0,,0,0,0,0,0,false
,2,2620.07,0,2620.08,2620.06,2620.08,2620.06,1727054520000,2,,0,,0,0,0,0,0,false
,3,2620.0333,0,2620.03,2620.06,2620.06,2620.01,1727054580000,3,,0,,0,0,0,0,0,false
,2,2619.6,0,2619.9,2619.3,2619.9,2619.3,1727054640000,2,,0,,0,0,0,0,0,false
,3,2618.9633,0,2618.57,2618.42,2619.9,2618.42,1727054700000,3,,0,,0,0,0,0,0,false
,2,2617.485,0,2617.71,2617.26,2617.71,2617.26,1727054760000,2,,0,,0,0,0,0,0,false
,3,2618.1133,0,2618.88,2617.94,2618.88,2617.52,1727054820000,3,,0,,0,0,0,0,0,false
,3,2617.9867,0,2618.24,2617.53,2618.24,2617.53,1727054880000,3,,0,,0,0,0,0,0,false
,2,2618.825,0,2618.88,2618.77,2618.88,2618.77,1727054940000,2,,0,,0,0,0,0,0,false
,3,2618.5467,0,2618.77,2618.08,2618.79,2618.08,1727055000000,3,,0,,0,0,0,0,0,false
,2,2618.43,0,2618.36,2618.5,2618.5,2618.36,1727055060000,2,,0,,0,0,0,0,0,false
,3,2618.7333,0,2618.76,2618.96,2618.96,2618.48,1727055120000,3,,0,,0,0,0,0,0,false
,3,2619.0367,0,2619.06,2618.8,2619.25,2618.8,1727055180000,3,,0,,0,0,0,0,0,false
,2,2619.24,0,2619.03,2619.45,2619.45,2619.03,1727055240000,2,,0,,0,0,0,0,0,false
,3,2619.5633,0,2620.3,2619.36,2620.3,2619.03,1727055300000,3,,0,,0,0,0,0,0,false
,2,2619.7,0,2619.4,2620,2620,2619.4,1727055360000,2,,0,,0,0,0,0,0,false
,3,2619.82,0,2619.36,2619.91,2620.19,2619.36,1727055420000,3,,0,,0,0,0,0,0,false
,3,2620.0733,0,2620.15,2620.15,2620.15,2619.92,1727055480000,3,,0,,0,0,0,0,0,false
,2,2620.65,0,2620.54,2620.76,2620.76,2620.54,1727055540000,2,,0,,0,0,0,0,0,false
,3,2620.2933,0,2620.17,2620.47,2620.47,2620.17,1727055600000,3,,0,,0,0,0,0,0,false
,2,2620.975,0,2620.86,2621.09,2621.09,2620.86,1727055660000,2,,0,,0,0,0,0,0,false
,3,2620.84,0,2620.47,2621.11,2621.11,2620.47,1727055720000,3,,0,,0,0,0,0,0,false
,3,2620.9133,0,2620.8,2621.11,2621.11,2620.8,1727055780000,3,,0,,0,0,0,0,0,false
,2,2620.91,0,2620.63,2621.19,2621.19,2620.63,1727055840000,2,,0,,0,0,0,0,0,false
,3,2620.5733,0,2620.75,2620.34,2620.75,2620.34,1727055900000,3,,0,,0,0,0,0,0,false
,2,2620.325,0,2620.26,2620.39,2620.39,2620.26,1727055960000,2,,0,,0,0,0,0,0,false
,3,2620.5167,0,2620.34,2620.76,2620.76,2620.34,1727056020000,3,,0,,0,0,0,0,0,false
,3,2620.7333,0,2620.99,2620.46,2620.99,2620.46,1727056080000,3,,0,,0,0,0,0,0,false
,2,2621.07,0,2621.09,2621.05,2621.09,2621.05,1727056140000,2,,0,,0,0,0,0,0,false
,3,2621.0033,0,2620.89,2621.05,2621.07,2620.89,1727056200000,3,,0,,0,0,0,0,0,false
,2,2620.265,0,2620.22,2620.31,2620.31,2620.22,1727056260000,2,,0,,0,0,0,0,0,false
,3,2620.7367,0,2620.49,2620.99,2620.99,2620.49,1727056320000,3,,0,,0,0,0,0,0,false
,2,2620.51,0,2620.59,2620.43,2620.59,2620.43,1727056380000,2,,0,,0,0,0,0,0,false
,2,2619.955,0,2619.96,2619.95,2619.96,2619.95,1727056440000,2,,0,,0,0,0,0,0,false
,3,2620.05,0,2620.06,2620.28,2620.28,2619.81,1727056500000,3,,0,,0,0,0,0,0,false
,2,2620.47,0,2620.29,2620.65,2620.65,2620.29,1727056560000,2,,0,,0,0,0,0,0,false
,3,2620.3433,0,2620.46,2620.28,2620.46,2620.28,1727056620000,3,,0,,0,0,0,0,0,false
,3,2620.28,0,2620.34,2620.28,2620.34,2620.22,1727056680000,3,,0,,0,0,0,0,0,false
,2,2620.21,0,2620.3,2620.12,2620.3,2620.12,1727056740000,2,,0,,0,0,0,0,0,false
,3,2620.09,0,2620.01,2619.96,2620.3,2619.96,1727056800000,3,,0,,0,0,0,0,0,false
,2,2620.315,0,2620.27,2620.36,2620.36,2620.27,1727056860000,2,,0,,0,0,0,0,0,false
,3,2619.98,0,2619.78,2619.9,2620.26,2619.78,1727056920000,3,,0,,0,0,0,0,0,false
,3,2619.84,0,2619.86,2619.9,2619.9,2619.76,1727056980000,3,,0,,0,0,0,0,0,false
,2,2618.955,0,2619.11,2618.8,2619.11,2618.8,1727057040000,2,,0,,0,0,0,0,0,false
,3,2619.1467,0,2619.12,2618.88,2619.44,2618.88,1727057100000,3,,0,,0,0,0,0,0,false
,2,2618.98,0,2618.82,2619.14,2619.14,2618.82,1727057160000,2,,0,,0,0,0,0,0,false
,3,2619.28,0,2619.42,2619.6,2619.6,2618.82,1727057220000,3,,0,,0,0,0,0,0,false
,3,2619.4033,0,2619.22,2619.6,2619.6,2619.22,1727057280000,3,,0,,0,0,0,0,0,false
,2,2619.23,0,2619.08,2619.38,2619.38,2619.08,1727057340000,2,,0,,0,0,0,0,0,false
,3,2619.46,0,2619.52,2619.48,2619.52,2619.38,1727057400000,3,,0,,0,0,0,0,0,false
,2,2619.435,0,2619.28,2619.59,2619.59,2619.28,1727057460000,2,,0,,0,0,0,0,0,false
,3,2619.3933,0,2619.4,2619.5,2619.5,2619.28,1727057520000,3,,0,,0,0,0,0,0,false
,3,2619.7933,0,2619.96,2619.5,2619.96,2619.5,1727057580000,3,,0,,0,0,0,0,0,false
,2,2620.03,0,2620.02,2620.04,2620.04,2620.02,1727057640000,2,,0,,0,0,0,0,0,false
,3,2619.98,0,2619.95,2619.97,2620.02,2619.95,1727057700000,3,,0,,0,0,0,0,0,false
,1,2619.88,0,2619.88,2619.88,2619.88,2619.88,1727057760000,1,,0,,0,0,0,0,0,false
,3,2619.8767,0,2619.77,2619.89,2619.97,2619.77,1727057820000,3,,0,,0,0,0,0,0,false
,3,2619.9767,0,2620.06,2619.89,2620.06,2619.89,1727057880000,3,,0,,0,0,0,0,0,false
,2,2619.775,0,2619.74,2619.81,2619.81,2619.74,1727057940000,2,,0,,0,0,0,0,0,false
,3,2619.7,0,2619.68,2619.68,2619.74,2619.68,1727058000000,3,,0,,0,0,0,0,0,false
,2,2619.72,0,2619.79,2619.65,2619.79,2619.65,1727058060000,2,,0,,0,0,0,0,0,false
,3,2619.7067,0,2619.59,2619.74,2619.79,2619.59,1727058120000,3,,0,,0,0,0,0,0,false
,3,2619.7667,0,2619.92,2619.74,2619.92,2619.64,1727058180000,3,,0,,0,0,0,0,0,false
,2,2619.81,0,2619.71,2619.91,2619.91,2619.71,1727058240000,2,,0,,0,0,0,0,0,false
,3,2619.9333,0,2620.04,2620.05,2620.05,2619.71,1727058300000,3,,0,,0,0,0,0,0,false
,2,2620.17,0,2620.13,2620.21,2620.21,2620.13,1727058360000,2,,0,,0,0,0,0,0,false
,3,2620.2333,0,2620.38,2620.19,2620.38,2620.13,1727058420000,3,,0,,0,0,0,0,0,false
,4,2620.25,0,2620.19,2620.19,2620.43,2620.19,1727058480000,4,,0,,0,0,0,0,0,false
,2,2620.645,0,2620.6,2620.69,2620.69,2620.6,1727058540000,2,,0,,0,0,0,0,0,false
,3,2620.6967,0,2620.79,2620.7,2620.79,2620.6,1727058600000,3,,0,,0,0,0,0,0,false
,2,2621.285,0,2621,2621.57,2621.57,2621,1727058660000,2,,0,,0,0,0,0,0,false
,3,2621.41,0,2621.46,2621.77,2621.77,2621,1727058720000,3,,0,,0,0,0,0,0,false
,3,2622.04,0,2622.03,2621.77,2622.32,2621.77,1727058780000,3,,0,,0,0,0,0,0,false
,2,2623.01,0,2622.85,2623.17,2623.17,2622.85,1727058840000,2,,0,,0,0,0,0,0,false
,3,2623.2433,0,2623.16,2623.93,2623.93,2622.64,1727058900000,3,,0,,0,0,0,0,0,false
,2,2624.975,0,2624.74,2625.21,2625.21,2624.74,1727058960000,2,,0,,0,0,0,0,0,false
,2,2624.765,0,2624.63,2624.9,2624.9,2624.63,1727059020000,2,,0,,0,0,0,0,0,false
,2,2624.585,0,2624.7,2624.47,2624.7,2624.47,1727059080000,2,,0,,0,0,0,0,0,false
,2,2624.45,0,2624.31,2624.59,2624.59,2624.31,1727059140000,2,,0,,0,0,0,0,0,false
,3,2624.28,0,2624.44,2624.79,2624.79,2623.61,1727059200000,3,,0,,0,0,0,0,0,false
,2,2624.195,0,2624.29,2624.1,2624.29,2624.1,1727059260000,2,,0,,0,0,0,0,0,false
,3,2624.3267,0,2624.33,2624.36,2624.36,2624.29,1727059320000,3,,0,,0,0,0,0,0,false
,3,2624.3,0,2624.33,2624.36,2624.36,2624.21,1727059380000,3,,0,,0,0,0,0,0,false
,2,2623.63,0,2624,2623.26,2624,2623.26,1727059440000,2,,0,,0,0,0,0,0,false
,3,2623.6133,0,2623.32,2623.52,2624,2623.32,1727059500000,3,,0,,0,0,0,0,0,false
,2,2622.485,0,2622.4,2622.57,2622.57,2622.4,1727059560000,2,,0,,0,0,0,0,0,false
,3,2622.9567,0,2622.74,2622.95,2623.18,2622.74,1727059620000,3,,0,,0,0,0,0,0,false
,3,2623.21,0,2623.08,2622.95,2623.6,2622.95,1727059680000,3,,0,,0,0,0,0,0,false
,2,2623.54,0,2623.61,2623.47,2623.61,2623.47,1727059740000,2,,0,,0,0,0,0,0,false
,3,2623.39,0,2623.37,2623.67,2623.67,2623.13,1727059800000,3,,0,,0,0,0,0,0,false
,2,2623.695,0,2623.64,2623.75,2623.75,2623.64,1727059860000,2,,0,,0,0,0,0,0,false
,3,2623.79,0,2623.79,2623.94,2623.94,2623.64,1727059920000,3,,0,,0,0,0,0,0,false
,3,2624.33,0,2624.25,2623.94,2624.8,2623.94,1727059980000,3,,0,,0,0,0,0,0,false
,2,2625.015,0,2624.93,2625.1,2625.1,2624.93,1727060040000,2,,0,,0,0,0,0,0,false
,3,2625.0033,0,2625.13,2625.26,2625.26,2624.62,1727060100000,3,,0,,0,0,0,0,0,false
,3,2624.9267,0,2624.89,2625,2625,2624.89,1727060160000,3,,0,,0,0,0,0,0,false
,3,2625.4467,0,2625.56,2625.89,2625.89,2624.89,1727060220000,3,,0,,0,0,0,0,0,false
,3,2625.6867,0,2625.69,2625.81,2625.81,2625.56,1727060280000,3,,0,,0,0,0,0,0,false
,2,2625.365,0,2625.37,2625.36,2625.37,2625.36,1727060340000,2,,0,,0,0,0,0,0,false
,3,2625.26,0,2625.01,2625.36,2625.41,2625.01,1727060400000,3,,0,,0,0,0,0,0,false
,2,2625.44,0,2625.43,2625.45,2625.45,2625.43,1727060460000,2,,0,,0,0,0,0,0,false
,3,2625.6233,0,2625.77,2625.55,2625.77,2625.55,1727060520000,3,,0,,0,0,0,0,0,false
,2,2625.715,0,2625.48,2625.95,2625.95,2625.48,1727060580000,2,,0,,0,0,0,0,0,false
,3,2626.1167,0,2625.55,2626.7,2626.7,2625.55,1727060640000,3,,0,,0,0,0,0,0,false
,3,2626.6367,0,2626.92,2625.98,2627.01,2625.98,1727060700000,3,,0,,0,0,0,0,0,false
,2,2626.865,0,2626.71,2627.02,2627.02,2626.71,1727060760000,2,,0,,0,0,0,0,0,false
,3,2627.2567,0,2627.52,2627.54,2627.54,2626.71,1727060820000,3,,0,,0,0,0,0,0,false
,3,2627.2667,0,2627.53,2627.87,2627.87,2626.4,1727060880000,3,,0,,0,0,0,0,0,false
,3,2627.5933,0,2627.54,2627.64,2627.64,2627.54,1727060940000,3,,0,,0,0,0,0,0,false
,3,2627.6033,0,2627.48,2627.64,2627.69,2627.48,1727061000000,3,,0,,0,0,0,0,0,false
,2,2627.855,0,2627.67,2628.04,2628.04,2627.67,1727061060000,2,,0,,0,0,0,0,0,false
,3,2627.8067,0,2627.95,2627.8,2627.95,2627.67,1727061120000,3,,0,,0,0,0,0,0,false
,2,2627.985,0,2627.93,2628.04,2628.04,2627.93,1727061180000,2,,0,,0,0,0,0,0,false
,3,2627.7333,0,2627.8,2627.68,2627.8,2627.68,1727061240000,3,,0,,0,0,0,0,0,false
,3,2627.9467,0,2628.18,2627.68,2628.18,2627.68,1727061300000,3,,0,,0,0,0,0,0,false
,2,2628.11,0,2628.22,2628,2628.22,2628,1727061360000,2,,0,,0,0,0,0,0,false
,3,2628.1433,0,2628.11,2628.1,2628.22,2628.1,1727061420000,3,,0,,0,0,0,0,0,false
,2,2628.585,0,2628.21,2628.96,2628.96,2628.21,1727061480000,2,,0,,0,0,0,0,0,false
,3,2628.29,0,2628.1,2628.4,2628.4,2628.1,1727061540000,3,,0,,0,0,0,0,0,false
,3,2628.2233,0,2628.31,2628.4,2628.4,2627.96,1727061600000,3,,0,,0,0,0,0,0,false
,2,2627.955,0,2627.81,2628.1,2628.1,2627.81,1727061660000,2,,0,,0,0,0,0,0,false
,3,2628.2667,0,2628.37,2628.62,2628.62,2627.81,1727061720000,3,,0,,0,0,0,0,0,false
,2,2629.295,0,2628.96,2629.63,2629.63,2628.96,1727061780000,2,,0,,0,0,0,0,0,false
,3,2629.1133,0,2628.62,2629.21,2629.51,2628.62,1727061840000,3,,0,,0,0,0,0,0,false
,3,2629.4367,0,2629.35,2629.21,2629.75,2629.21,1727061900000,3,,0,,0,0,0,0,0,false
,2,2629.815,0,2629.77,2629.86,2629.86,2629.77,1727061960000,2,,0,,0,0,0,0,0,false
,3,2629.7333,0,2629.76,2630,2630,2629.44,1727062020000,3,,0,,0,0,0,0,0,false
,2,2630.305,0,2630.25,2630.36,2630.36,2630.25,1727062080000,2,,0,,0,0,0,0,0,false
,3,2630.2733,0,2630,2630.62,2630.62,2630,1727062140000,3,,0,,0,0,0,0,0,false
,3,2630.3633,0,2630.38,2630.21,2630.5,2630.21,1727062200000,3,,0,,0,0,0,0,0,false
,2,2630.845,0,2630.89,2630.8,2630.89,2630.8,1727062260000,2,,0,,0,0,0,0,0,false
,3,2630.8067,0,2630.9,2630.7,2630.9,2630.7,1727062320000,3,,0,,0,0,0,0,0,false
,2,2630.92,0,2630.85,2630.99,2630.99,2630.85,1727062380000,2,,0,,0,0,0,0,0,false
,4,2630.37,0,2630.7,2630.33,2630.85,2629.6,1727062440000,4,,0,,0,0,0,0,0,false
,3,2630.7167,0,2630.57,2630.84,2630.84,2630.57,1727062500000,3,,0,,0,0,0,0,0,false
,2,2630.63,0,2630.77,2630.49,2630.77,2630.49,1727062560000,2,,0,,0,0,0,0,0,false
,3,2629.49,0,2629.02,2628.68,2630.77,2628.68,1727062620000,3,,0,,0,0,0,0,0,false
,2,2628.95,0,2628.7,2629.2,2629.2,2628.7,1727062680000,2,,0,,0,0,0,0,0,false
,3,2629.3867,0,2629.84,2629.23,2629.84,2629.09,1727062740000,3,,0,,0,0,0,0,0,false
,3,2629.0133,0,2628.99,2629.23,2629.23,2628.82,1727062800000,3,,0,,0,0,0,0,0,false
,2,2629.075,0,2629.11,2629.04,2629.11,2629.04,1727062860000,2,,0,,0,0,0,0,0,false
,3,2628.5533,0,2628.48,2628.07,2629.11,2628.07,1727062920000,3,,0,,0,0,0,0,0,false
,3,2627.7167,0,2628.01,2628.24,2628.24,2626.9,1727062980000,3,,0,,0,0,0,0,0,false
,3,2628.3233,0,2628.39,2628.29,2628.39,2628.29,1727063040000,3,,0,,0,0,0,0,0,false
,3,2628.2833,0,2628.26,2628.29,2628.3,2628.26,1727063100000,3,,0,,0,0,0,0,0,false
,2,2628.255,0,2628.21,2628.3,2628.3,2628.21,1727063160000,2,,0,,0,0,0,0,0,false
,3,2628.26,0,2628.27,2628.3,2628.3,2628.21,1727063220000,3,,0,,0,0,0,0,0,false
,2,2628.44,0,2628.57,2628.31,2628.57,2628.31,1727063280000,2,,0,,0,0,0,0,0,false
,3,2628.2967,0,2628.3,2628.24,2628.35,2628.24,1727063340000,3,,0,,0,0,0,0,0,false
,3,2628.1633,0,2628.02,2628.24,2628.24,2628.02,1727063400000,3,,0,,0,0,0,0,0,false
,2,2628.31,0,2628.22,2628.4,2628.4,2628.22,1727063460000,2,,0,,0,0,0,0,0,false
,3,2628.3633,0,2628.34,2628.53,2628.53,2628.22,1727063520000,3,,0,,0,0,0,0,0,false
,2,2628.25,0,2628.35,2628.15,2628.35,2628.15,1727063580000,2,,0,,0,0,0,0,0,false
,2,2628.58,0,2628.35,2628.81,2628.81,2628.35,1727063640000,2,,0,,0,0,0,0,0,false
,3,2628.5667,0,2628.51,2628.78,2628.78,2628.41,1727063700000,3,,0,,0,0,0,0,0,false
,2,2628.285,0,2628.22,2628.35,2628.35,2628.22,1727063760000,2,,0,,0,0,0,0,0,false
,3,2628.2767,0,2628.42,2628.19,2628.42,2628.19,1727063820000,3,,0,,0,0,0,0,0,false
,2,2628.18,0,2628.21,2628.15,2628.21,2628.15,1727063880000,2,,0,,0,0,0,0,0,false
,3,2628.3433,0,2628.21,2628.47,2628.47,2628.21,1727063940000,3,,0,,0,0,0,0,0,false
,3,2628.21,0,2628.08,2628.47,2628.47,2628.08,1727064000000,3,,0,,0,0,0,0,0,false
,2,2628.215,0,2628.08,2628.35,2628.35,2628.08,1727064060000,2,,0,,0,0,0,0,0,false
,3,2628.3133,0,2628.37,2628.49,2628.49,2628.08,1727064120000,3,,0,,0,0,0,0,0,false
,2,2628.305,0,2628.35,2628.26,2628.35,2628.26,1727064180000,2,,0,,0,0,0,0,0,false
,4,2627.975,0,2628.18,2628.07,2628.35,2627.3,1727064240000,4,,0,,0,0,0,0,0,false
,3,2628.1133,0,2628.13,2628.07,2628.14,2628.07,1727064300000,3,,0,,0,0,0,0,0,false
,2,2628.36,0,2628.3,2628.42,2628.42,2628.3,1727064360000,2,,0,,0,0,0,0,0,false
,3,2628.5667,0,2628.25,2629.15,2629.15,2628.25,1727064420000,3,,0,,0,0,0,0,0,false
,2,2629.86,0,2629.41,2630.31,2630.31,2629.41,1727064480000,2,,0,,0,0,0,0,0,false
,3,2629.72,0,2630.35,2630.53,2630.53,2628.28,1727064540000,3,,0,,0,0,0,0,0,false
,3,2630.0667,0,2630.2,2629.74,2630.26,2629.74,1727064600000,3,,0,,0,0,0,0,0,false
,3,2629.7933,0,2630.31,2629.97,2630.31,2629.1,1727064660000,3,,0,,0,0,0,0,0,false
,2,2630.1,0,2629.98,2630.22,2630.22,2629.98,1727064720000,2,,0,,0,0,0,0,0,false
,2,2630.36,0,2630.12,2630.6,2630.6,2630.12,1727064780000,2,,0,,0,0,0,0,0,false
,3,2630.52,0,2630.51,2630.93,2630.93,2630.12,1727064840000,3,,0,,0,0,0,0,0,false
,2,2630.58,0,2630.57,2630.59,2630.59,2630.57,1727064900000,2,,0,,0,0,0,0,0,false
,2,2630,0,2630.37,2629.63,2630.37,2629.63,1727064960000,2,,0,,0,0,0,0,0,false
,3,2629.77,0,2629.62,2629.32,2630.37,2629.32,1727065020000,3,,0,,0,0,0,0,0,false
,2,2629.4,0,2629.49,2629.31,2629.49,2629.31,1727065080000,2,,0,,0,0,0,0,0,false
,3,2629.58,0,2629.42,2629.83,2629.83,2629.42,1727065140000,3,,0,,0,0,0,0,0,false
,3,2629.4467,0,2629.51,2629.43,2629.51,2629.4,1727065200000,3,,0,,0,0,0,0,0,false
,2,2629.43,0,2629.6,2629.26,2629.6,2629.26,1727065260000,2,,0,,0,0,0,0,0,false
,3,2629.3433,0,2629.23,2629.2,2629.6,2629.2,1727065320000,3,,0,,0,0,0,0,0,false
,2,2629.38,0,2629.26,2629.5,2629.5,2629.26,1727065380000,2,,0,,0,0,0,0,0,false
,3,2629.3033,0,2629.38,2629.27,2629.38,2629.26,1727065440000,3,,0,,0,0,0,0,0,false
