timestamp,Open,Close,High,Low,Volume,turnover
2024-08-15 00:25:00,2449.1,2449.0,2449.16,2448.88,8124.0,0.00
2024-08-15 00:26:00,2449.0,2449.28,2449.28,2448.8,9628.0,0.00
2024-08-15 00:27:00,2449.28,2449.21,2449.39,2449.17,5950.0,0.00
2024-08-15 00:28:00,2449.21,2449.44,2449.45,2449.19,6474.0,0.00
2024-08-15 00:29:00,2449.44,2450.19,2450.2,2449.44,8236.0,0.00
2024-08-15 00:30:00,2450.16,2450.54,2450.54,2449.93,7431.0,0.00
2024-08-15 00:31:00,2450.52,2450.62,2450.65,2450.49,7650.0,0.00
2024-08-15 00:32:00,2450.63,2450.44,2451.12,2450.44,10523.0,0.00
2024-08-15 00:33:00,2450.44,2450.66,2450.66,2450.1,7267.0,0.00
2024-08-15 00:34:00,2450.67,2451.39,2451.55,2450.67,9163.0,0.00
2024-08-15 00:35:00,2451.39,2451.6,2451.6,2451.29,7178.0,0.00
2024-08-15 00:36:00,2451.6,2452.07,2452.12,2451.31,7333.0,0.00
2024-08-15 00:37:00,2452.07,2453.04,2453.17,2451.99,8891.0,0.00
2024-08-15 00:38:00,2453.04,2453.19,2453.29,2452.5,6942.0,0.00
2024-08-15 00:39:00,2453.19,2453.47,2453.61,2452.85,9021.0,0.00
2024-08-15 00:40:00,2453.47,2453.34,2453.57,2453.33,7673.0,0.00
2024-08-15 00:41:00,2453.33,2452.69,2453.61,2452.69,9026.0,0.00
2024-08-15 00:42:00,2452.67,2453.43,2453.52,2452.53,7912.0,0.00
2024-08-15 00:43:00,2453.43,2453.51,2453.57,2452.87,9598.0,0.00
2024-08-15 00:44:00,2453.52,2453.94,2454.01,2453.45,8783.0,0.00
2024-08-15 00:45:00,2453.91,2454.24,2454.37,2453.7,11137.0,0.00
2024-08-15 00:46:00,2454.26,2453.4,2454.32,2453.37,8190.0,0.00
2024-08-15 00:47:00,2453.39,2453.56,2453.92,2453.34,4392.0,0.00
2024-08-15 00:48:00,2453.55,2453.36,2453.64,2453.36,2545.0,0.00
2024-08-15 00:49:00,2453.35,2453.24,2453.55,2453.19,3577.0,0.00
2024-08-15 00:50:00,2453.24,2453.39,2453.45,2453.15,4159.0,0.00
2024-08-15 00:51:00,2453.39,2453.52,2453.89,2453.39,5939.0,0.00
